Key,Ukrainian
cancel csv import,Скасуйте процес імпорту. Це зупинить створення нових об’єктів. На вже створені об’єкти це не вплине
Canceling,Скасування
Canceling...,Скасування...
Cancelled,Скасовано
Cannot connect to server,Не вдається підключитися до сервера
Cannot find extractor,Не вдається знайти екстрактор
Captcha,Капча
Captcha bypass,"Увімкнувши цю опцію, ви можете дозволити користувачам надсилати заявки до ваших шаблонів з білого списку без необхідності заповнювати CAPTCHA.
Форма все одно показуватиме капчу кінцевим користувачам, але кінцевий пункт API дозволить надсилати заявки без перевірки CAPTCHA, якщо буде надіслано заголовок
заголовок ""Bypass-Captcha: true"". Ця опція є небезпечною і може бути використана для заповнення вашого екземпляра спамом або шкідливим контентом.
шкідливим контентом."
Cards,Картки
Cards view,Вид карток
Category,Категорія
Change,Змінити
Change Password,Змінити пароль
Changes in the thesaurus will impact all the entities using these values.,"Зміни в тезаурусі вплинуть на всіх суб'єктів, які використовують ці значення."
Changing the type will erase all relationships to this entity.,Зміна типу призведе до видалення всіх зв'язків з цією сутністю.
Character support description,"Цей параметр покращує підтримку нелатинських мов як мов за замовчуванням у вашій колекції.
Вибравши цей параметр, ви автоматично оновите всі властивості шаблону. Цей процес може тривати кілька хвилин. Вибір цього пункту може змінити URL-адреси фільтрів бібліотеки. Як наслідок, якщо у вас є меню або посилання, що використовують такі URL-адреси, вони, ймовірно, перестануть працювати.
Вам потрібно буде оновити їх вручну. Після вибору цієї опції ви не зможете повернутися до використання старих імен властивостей. Якщо у вас немає проблем з назвами властивостей шаблону, ми рекомендуємо не позначати цю опцію."
Character support process warning,"Цей процес може зайняти кілька хвилин і, ймовірно, змінить URL-адреси на фільтри бібліотек. Якщо у вас є меню або посилання, що використовують такі URL-адреси, вони, ймовірно, перестануть працювати після оновлення. Вам потрібно буде оновити їх вручну."
Character support revert warning,"Вибравши цю опцію, ви не зможете повернутися до використання старих імен властивостей. Якщо у вас немає проблем з іменами властивостей шаблону, ми рекомендуємо не позначати цю опцію."
Chart,Діаграма
Chart options,Параметри діаграми
Chart theme,Тема діаграми
Chart type,Тип діаграми
Chart type uses a custom view,У цьому типі діаграми використовується користувацький вигляд
Check to make this instance public (non-logged in users can see public documents and entities),"Установіть прапорець, щоб зробити цей екземпляр загальнодоступним (неавторизовані користувачі можуть бачити загальнодоступні документи та сутності)"
Checking which images fit the requirements,"Перевірка, які зображення відповідають вимогам..."
Choose,Виберіть
Choose relation type,Виберіть тип зв’язку
Choose which data to use for training,"Виберіть, які дані використовувати для навчання"
Chrome header,Заголовок Chrome
Clear,Чисто
Clear all,Зачистити все.
Clear All,Очистити все.
Clear all filters,Очистити всі фільтри
Clear coordinates,Очистити координати
Clear Filters,Очистити фільтри
Clear PDF selection,Очистити вибір PDF
Clear search,Очистити пошук
Click,Клац!
Click to fill,"Натисніть, щоб заповнити"
Click to select an image,"Натисніть, щоб вибрати зображення"
Click to select audio or video,"Натисніть, щоб вибрати аудіо- або відеофайл"
Click to select files,"Натисніть, щоб вибрати файли"
Close,Закрити
Code,Код
Collaborator,Співкористувач
Collaborators,Співробітники
Collapse all,Згорнути все
Collapse All,Згорнути все
Collection,Колекція
Collection Name,Назва колекції
Colors,Кольори
Colors come from the server data layer. Preview shows assigned bucket colors when available.,"Кольори беруться з рівня даних сервера. У попередньому перегляді відображаються призначені кольори сегментів, якщо вони доступні."
Columns,Стовпці
combine or exclude terms,об’єднати або виключити терміни
Comfortable,Комфортна
Common sources,Загальні джерела
Compact,Компактна
Completed,Завершено
Completed with errors,Завершено з помилками
Config,Налаштування
Configuration,Конфігурація
Configure filters,Налаштувати фільтри
Configure templates,Налаштування шаблонів
Confirm,Підтвердити
CONFIRM,ПІДТВЕРДИТИ
Confirm action,Підтвердити дію
Confirm delete connection,Підтвердити видалення з'єднання
Confirm delete multiple items,"Ви впевнені, що хочете видалити всі вибрані елементи?"
Confirm deletion,Підтвердити видалення
Confirm deletion of,Підтвердити видалення
Confirm deletion of entity,Підтвердити видалення сутності
Confirm deletion of file,Підтвердити видалення файлу
Confirm new password,Підтвердьте новий пароль
Confirm your password,Підтвердьте свій пароль
Connect to a paragraph,З'єднати з абзацом
Connect to an entity,Підключіться до організації
Connect to entity,Підключитися до об’єкта
Connected entities,Пов’язані об’єкти
Connected to server,Підключено до сервера
Connection type,Тип зв'язку
Contact email description,"Тут ви можете налаштувати контактний email та email, який з'являється, коли Uwazi надсилає сповіщення користувачеві"
Contact Form,Форма зворотнього зв'язку
Contact form email,Контактна форма електронної пошти
Contains,Містить
Content translations,Переклади контенту
Context,Контекст
Continue,Продовжуйте
Conversion failed,Помилка перетворення
Cookie preferences,Налаштування файлів cookie
Copied,Скопійовано
Copied to clipboard,Скопійовано в буфер обміну
Copy,Копіювати
Copy From,Копіювати з
Copy from,Копіювати з
Copy from this entity,Копіювати з цього об'єкта
Copy from...,Скопіювати з...
Copy Highlighted,Копію виділено
Copy link,Скопіювати посилання
Copy properties to this entity from,Скопіювати властивості до цього об'єкта з
Copy to clipboard,Скопіювати в буфер обміну
Could not add media. Please try again.,Не вдалося додати медіафайл. Спробуйте ще раз.
Could not be processed,Не вдалось обробити
Could not create entity,Не вдалося створити об’єкт
Could not detect the area for the selected text,"Не вдалося виявити область для виділеного тексту, спробуйте виділити ще раз."
Could not load suggestions.,Не вдалося завантажити пропозиції.
Could not reach server. Please try again later.,"Не вдалося зв'язатися з сервером. Будь ласка, спробуйте ще раз пізніше."
Count,Кількість
Create,Створити
CREATE,СТВОРИТИ
Create a type to continue.,"Створіть тип, щоб продовжити."
Create and edit thesauri,Створення та редагування тезаурусів
Create Connection,Створити з'єднання
Create entity,Створити об'єкт
Create Entity,Створити об'єкт
Create Extractor,Створити витягач
Create new entities and upload documents,Створюйте нові організації та завантажуйте документи
Create new entity from selection,Створити новий об’єкт на основі виділеного
Create Reference,Створити посилання
Create relationship,Створити зв’язок
Create relationship types,Створення типів зв'язків
Create relationships and references,Створюйте зв'язки та посилання
Create table of contents,Створити зміст
Create visualization,Створити візуалізацію
Created,Створено
Created entity,Створена сутність
Created entity coming from a public form,Створений суб'єкт з публічної форми
Created page,Створена сторінка
Created relation type,Створений тип відношення
Created relationship,Створені стосунки
Created template,Створений шаблон
Created thesaurus,Створено тезаурус
Created user group,Створена група користувачів
Creating entities,Створення об’єктів
Creating relationships,Створення зв’язків
Creating thesauri,Створення тезаурусів
Creation date,Дата створення
CSS,CSS
csv blank state message,"Імпортуйте файли CSV або ZIP для масового створення об’єктів. Щоб розпочати, натисніть **+ Імпортувати CSV**."
CSV Import,Імпорт CSV
CSV import cancelled,Імпорт CSV скасовано
CSV import completed,Імпорт CSV завершено
CSV import failed,Імпорт CSV не вдався
CSV or ZIP up to 50MB,CSV або ZIP (розмір до 50 МБ)
Ctrl K,Ctrl K
Current Value/Suggestion,Поточне значення/пропозиція
"Custom colors are not available for this chart type. Use the chart palette or template
            colors instead.","Для цього типу діаграми не доступні власні кольори. Замість цього скористайтеся палітрою діаграми або
кольорами шаблону."
Custom component error,"Помилка розмітки кастомного компонента: непідтримувані значення! Будь ласка, перевірте свою конфігурацію"
Custom CSS,Персональні CSS
Custom Favicon,Користувацька іконка
Custom JS,Спеціальний JS
Custom landing page,Налаштована цільова сторінка
custom page error warning,"На цій кастомній сторінці сталася несподівана помилка, вона може не працювати належним чином. Будь ласка, зв'яжіться з адміністратором для уточнення деталей."
Custom Uploads,Персоналізовані завантаження
Customize,Налаштувати
Customized,Індивідуальний
Dark,Темний
Dark Theme,Темна тема
Dashboard,Приладова панель
Data may be outdated.,Дані можуть бути застарілими.
Data source,Джерело даних
Data sources,Джерела даних
Data visualizations,Візуалізації даних
Data was updated recently. You can refresh again in a few seconds.,Дані було нещодавно оновлено. Ви можете спробувати оновити сторінку ще раз через кілька секунд.
Date,Дата
Date added,Дата додавання
Date modified,Дату змінено
"Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date).","Дата або числове значення × числове значення дозволяють створити діаграму розсіювання та теплову карту. Лінійні, площинні та стовпчасті діаграми відображають
 показник за основним виміром (наприклад, максимальний об’єм двигуна за датою реєстрації)."
"Date or numeric × select enables line and area charts with one line per breakdown
                value over time.","""Дата"" або ""Числове значення"" × ""Вибрати"" дозволяють створювати лінійні та площинні діаграми з однією лінією для кожного значення розбивки
 у динаміці."
Date range,Діапазон дат
Day,День
"Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab.","Глибоко інтегровано в згенеровані параметри ECharts. Використовується для точного налаштування параметрів, які не відображаються на
 вкладці ""Діаграма""."
Default,За замовчуванням
Default date format,Формат дати за замовчуванням
Default filter,Фільтр за замовчуванням
Default language,Мова за замовчуванням
Default language change success,Зміна мови за замовчуванням пройшла успішно
Default template,Мова за замовчуванням
Default template set successfully.,Шаблон за замовчуванням встановлено успішно.
Default View,Вигляд за замовчуванням
Delete,Видалити
DELETE,Видалити
Delete entities and documents,Видалити документи та об'єкти
Delete file,Видалити файл
Delete relationship,Видалити зв’язок
Delete relationships,Видалити зв’язки
Delete?,Видалити?
Deleted attachment,Видалено вкладення
Deleted custom file,Видалено користувацький файл
Deleted entity,Видалена сутність
Deleted file,Видалений файл
Deleted multiple entities,Видалено кілька сутностей
Deleted page,Видалена сторінка
Deleted relation type,Видалений тип відношення
Deleted relationship,Видалений зв'язок
Deleted successfully.,Видалено успішно.
Deleted template,Видалений шаблон
Deleted thesaurus,Видалено тезаурус
Deleted user,Видалений користувач
Deleted user group,Видалена група користувачів
Deletion success,Успішність видалення
Density,Щільність
Description,Опис
Deselect all,Скасувати вибір усіх
Details,Деталі
Direction,Напрямок
Disable,Вимкнути
Disable highlights,Вимкнути підсвічування
Disabled 2FA,Відключений 2FA
Discard,Відхилити
Discard changes,Відмінити зміни
Discard changes?,Відкинути зміни?
Dismiss,Звільнити.
Display entity view from page,"Показувати об'єкт, який переглядають зі сторінки"
Display options,Параметри відображення
Do you want disable 2FA for the following users?,Ви хочете вимкнути 2FA для наступних користувачів?
Do you want reset the password for the following users?,Ви хочете скинути пароль для наступних користувачів?
Do you want to delete the following items?,Ви хочете видалити наступні елементи?
Document,Документ
Document contents,Зміст документа
Document OCR trigger,Тригер розпізнавання документів
Document Title,Назва документа
Document updated,Документ оновлено
Documentation,Документація
documents,документи
Documents,Документи
documents.,документи.
Done,Готово
Done creating entities,Створення об’єктів завершено
Done creating relationships,Створення зв’язків завершено
Done creating thesauri,Створення тезаурусів завершено
Done extracting files,Витягнення файлів завершено
Done scanning,Сканування завершено
Download,Завантажити
Download a third-party authenticator app from your mobile store.,Завантажте сторонній додаток-автентифікатор з вашого мобільного магазину.
Download all,Завантажити все
Download failed rows,"Завантажити рядки, для яких сталася помилка"
Draft restored from release.,"Чернетка відновлена з версії, що вийшла."
Drag and drop file in this window to upload,"Перетягніть й опустіть файл у вікно, щоб завантажити"
Drag row,Перетягування рядка
Drop your files here to upload or,"Опустіть свої файли сюди, щоб завантажити або"
Duplicate values not allowed.,Повторювані значення не допускаються.
Duplicated email,Продубльована адреса електронної пошти
Duplicated name,Дубльоване ім'я
Duplicated username,Продубльоване ім'я користувача
Duration,Тривалість
e.g.,наприклад:
Each series uses the template brand color when comparing data sources.,"У кожній серії під час порівняння джерел даних використовується колір бренду, визначений у шаблоні."
Earlier,Раніше
Edit,Редагувати
Edit at source,Редагувати в джерелі
Edit date,Дату змінено
Edit Extractor,Редагувати витягач
Edit File,Редагувати файл
Edit group,Група редагування
Edit item,Редагувати елемент
Edit metadata of entities,Редагування метаданих сутностей
Edit theme,Редагувати тему
Edit user,Редагувати користувача
Edited,Відредаговано
Editor,Редактор
editor,Редактор
Editors,Редактори
Email,Електронна пошта
Embed,Вбудувати
Embed in pages,Вбудувати на сторінки
Empty,Порожній
Empty group. Drop here to add,"Порожня група. Натисніть тут, щоб додати"
empty property tip,"Ви не зможете зберегти сутність, якщо ця властивість порожня."
Enable,Увімкнути
Enable public embedding to use this chart in external sites on private instances.,"Увімкніть функцію публічного вбудовування, щоб використовувати цю діаграму на зовнішніх сайтах у приватних екземплярах."
Enable this page to be used as an entity view page:,Зробіть цю сторінку доступною для використання в якості сторінки для перегляду об'єкта:
Enter the 6-digit verification code generated by your Authenticator app,"Введіть 6-значний код підтвердження, згенерований вашим додатком Authenticator"
"Enter the full username, email, or group name. Suggestions are not shown.","Введіть повне ім'я користувача, адресу електронної пошти або назву групи. Підказки не відображаються."
Enter your current password to confirm,Введіть ваш поточний пароль для підтвердження
Entities,Об'єкти
entities,Об'єкти
Entities across all languages,Сутності всіма мовами
Entities created,Створені об’єкти
Entities updated,Оновлені об’єкти
entities · generated,об’єктів · згенеровано
Entity,Об'єкт
Entity creation stage completed.,Етап створення об’єкта завершено.
Entity deleted,Сутність видалено
Entity Page,Сторінка сутності
Entity saved,Об'єкт збережено
Entity scope,Область дії об’єкта
Entity type,Тип об’єкта
Entity types,Типи об'єктів
Entity updated,Сутність оновлено
Error,Помилка
Error adding thesauri.,Помилка додавання тезаурусів.
Error loading your image,Помилка завантаження зображення
Error saving template.,Шаблон збереження помилок.
Error updating thesauri.,Помилка оновлення тезаурусів.
evidence,докази
exact phrase,точна фраза
Expand all,Розгорнути все
Expand All,Розгорнути все
Export CSV,Експортувати CSV
Exporting entities to CSV,Експортувати об'єкти до CSV
Extension Token,Токен розширення
External embed,Зовнішнє вбудовування
Extract new paragraphs,Витягніть нові абзаци
Extract paragraphs,Витягнути абзаци
Extracting files,Витягнення файлів
Extracting files from uploaded package.,Витягнення файлів із завантаженого пакету.
Extraction configuration,Конфігурація вилучення
Extractor Name,Ім'я екстрактора
Extractor name,Ім'я екстрактора
Extractor/s deleted,Видалено розпакувальник(и)
Extractors,Екстрактори
Failed,Не вдалося
Failed to mark table of contents as reviewed,Не вдалося позначити зміст як перевірений
Failed to save table of contents,Не вдалося зберегти зміст
Failure details,Деталі збою
Favicon description,"Іконка - це невелика піктограма, яка представляє вашу колекцію у вкладках та закладках браузера. За замовчуванням це логотип Uwazi. Ви можете використовувати свій власний:

1. За потреби завантажте свою іконку в Користувацькі завантаження.
2. Натисніть ""Вибрати зображення фавікону"" і оберіть файл (лише зображення з Користувацьких завантажень).
3. Перезавантажте сторінку, щоб побачити вашу іконку в дії."
Favicon no images hint,Підказка щодо відсутності зображень у фавіконі
FEATURED,ОБРАНІ
File,Файл
file,файл
File deleted,Файл видалено
File details,Відомості про файл
File extraction completed successfully.,Витягнення файлів завершено успішно.
File name,Ім'я файлу
File preview unavailable,Попередній перегляд файлу недоступний
File updated,Файл оновлено
Files,Файли
files,файли
Files and database usage,Використання файлів і баз даних
Fill,Заповнити
Filter,Фільтр
Filter unauthorized relationships,"За замовчуванням зв’язки, що вказують на об’єкти з обмеженим доступом, відображаються анонімним користувачам, але не пов’язані з ними. Якщо цю опцію увімкнути, такі зв’язки повністю приховуються, що не дозволяє звичайним користувачам дізнатися про існування вмісту з обмеженим доступом."
Filters,Фільтри
Filters AND operator,І
Filters configuration,Фільтри
Filters configuration description,"За замовчуванням користувачі можуть фільтрувати сутності в бібліотеці на основі визначених вами типів. Проте, ви можете налаштувати спосіб відображення цих типів сутностей:"
Filters configuration example,"виберіть ""Додати групу"" нижче, щоб згрупувати фільтри за міткою, наприклад (""Документи"" або ""Люди"")"
Filters OR operator,АБО
Filters saved,Фільтри збережено
Find,Знайти
Find suggestions,Знайти пропозиції
Find suggestions after training,Знайдіть пропозиції після тренінгу
Find suggestions for,Знайдіть пропозиції для
Find suggestions for selected,Знайдіть пропозиції для обраних
Finding suggestions,Пошук пропозицій
Fit,Пристосувати
Flag,Прапорець
for,за
For all entities,Для всіх суб'єктів господарювання
For entities with blank values,Для сутностей з порожніми значеннями
Forgot Password or Username?,Забули пароль або ім'я користувача?
Forms and email configuration,Налаштування форм та електронної пошти
From,Від
From all suggestions,З усіх пропозицій
From previous step,З попереднього кроку
From selection,Із вибраного
From:,Від:
Full mode,Повний режим
Full width,Повна ширина
General,Загальний
General access,Загальний доступ
General Information,Загальна інформація
Generated ID,Згенерований ідентифікатор
Global CSS,Глобальні CSS
Global CSS & JS,Глобальний CSS та JS
Global JS,Global JS
Google,Google
Google Analytics,Google Аналітики
Google Maps,Карти Google
Group,Групи
Group by,Згрупувати за
group expressions,групові вирази
Group Options,Параметри групи
Group saved,Групу збережено
Group updated,Групу оновлено
Grouped geolocation properties,Згруповані властивості геолокації
Groups,Групи
Header and button preview,Попередній перегляд заголовка та кнопки
Header bar active background,Активний фон верхньої панелі
Header bar background,Фон верхньої панелі
Header bar divider,Розділювач верхньої панелі
Header bar hover background,Фон верхньої панелі при наведенні курсору
Header bar text,Текст у верхній панелі
help,допомога
here,тут.
"Hi, I'm Bert.","Привіт, я — Bert."
Hide,Приховати
Hide actions,Приховати дії
Hide details,Приховати деталі
Hide label,Приховати мітку
Hide restricted relationships from public,Приховати обмежені зв’язки від загального доступу
Hide toolbar,Приховати панель інструментів
HTML,HTML
https://yourdomain,https://вашдомен
hub,хаб
hubs,хаби
Hybrid,Гібридний
Icon,Символ
ID,ІДЕНТИФІКАТОР
ID:,ПОСВІДЧЕННЯ ОСОБИ:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.","Якщо за вказаною вами електронною адресою вже існує обліковий запис, ви отримаєте листа
 з інструкціями щодо зміни пароля."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","Якщо це зовнішній URL, використовуйте повністю сформований URL. Тобто http://www.uwazi.io."
"If you want to continue, please type","Якщо ви хочете продовжити, будь ласка, введіть"
Image doesn't match the required size.,Зображення не відповідає необхідному розміру.
Import,Імпортувати
Import / Export CSV,Імпорт / Експорт CSV-файлів
Import asset,Імпортний актив
Import CSV,Імпортувати CSV
Import failed. Review details below.,Імпорт не вдався. Ознайомтеся з деталями нижче.
Import finished successfully.,Імпорт завершено успішно.
Import finished with errors. Review details below.,Імпорт завершився з помилками. Ознайомтеся з деталями нижче.
Import is currently processing rows.,Наразі імпорт обробляє рядки.
Import is retrying after an error.,Після виникнення помилки імпорт виконується повторно.
Import theme instance file,Імпортувати файл екземпляра теми
Import was cancelled.,Імпорт було скасовано.
Imported translations from file,Імпортовані переклади з файлу
in,в
"In a group, either all relationships must have a hub or none of them.","У групі або всі відносини повинні мати центр, або жоден з них."
In OCR queue,У черзі на оптичне розпізнавання символів
In use,Використовується
Include all entities,Включити всі об’єкти
Include only public,Включити лише загальнодоступні
Incoming,Вхідні
Info,Інформація
Information extraction training,Тренінг з вилучення інформації
Inherit,Успадковувати
Inherit property,Запозичити властивість
Inherit type,Тип успадкування
"Inherited values are read-only. Change the connection above, or edit the source entity.",Успадковані значення доступні лише для читання. Змініть наведені вище параметри з’єднання або відредагуйте вихідний об’єкт.
inherits,успадковує
Input,Вхідні дані
Input type,Тип вхідних даних
Install,Встановити
Install Language(s),Мову(и) інсталяції
Install the browser extension.,Встановіть розширення для браузера.
Installing languages,Встановлення мов
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.","Інструкції про те, як цього досягти, залежать від програми, яку ви використовуєте, будь ласка, зверніться до документації програми."
Instructions to reset password,"Якщо вказана адреса електронної пошти правильна, ми надішлемо інструкції щодо зміни пароля."
Instructions to reset the password were sent to the user,Користувачеві надіслано інструкцію зі скидання пароля
Invalid captcha,Невірна captcha
Invalid csv: all the values for a row must be either nested or non-nested,"Неправильний csv: всі значення рядка повинні бути або вкладеними, або невкладеними"
Invalid csv: nested value need to be under a non-nested value,Неправильний csv: вкладені значення мають бути під невкладеними значеннями
Invalid form,"Запис є обов'язковим або має невірне значення. Будь ласка, виправте і спробуйте ще раз."
Invalid URL,Неправильна URL-адреса
It could also very easily break the app. Only write code here if you know exactly what you are doing.,"Це також ненароком може порушити роботу додатка. Введіть код лише у випадку, якщо ви точно знаєте, що робите."
it has been logged with request id #,його було зареєстровано з ідентифікатором запиту #
Item,Пункт
Items:,Елементи:
Javascript,JavaScript
juris*,юрис*
key,ключ
Label,Мітка
"Label date ""From""",з
"Label date ""to""",до
Labeled,З позначкою
Landing page,Головна сторінка
Landing page description,"Цільова сторінка - це перша сторінка, яку бачать відвідувачі, коли потрапляють до вашої колекції. За замовчуванням цільовою сторінкою є бібліотека вашої колекції. Ви можете встановити іншу цільову сторінку, додавши тут її відносну URL-адресу. Наприклад:

Сторінка: */page/dicxg0oagy3xgr7ixef80k9*
Відфільтрований вигляд в Uwazi: */library/?searchTerm=test*.
Сутність: */entity/9htbkgpkyy7j5rk9*
Документ: */document/4y9i99fadjp833di*

Важливо: Ви повинні використовувати відносні URL-адреси. Вони починаються з прямої похилої риски і не містять доменного імені. Наприклад: В адресі *https://yoursite.com/landingpage* відносною URL-адресою буде /landingpage"
Language,Мова
Language Code,Код мови
Language deleted,Мову видалено
Language reset success,Успішне перезавантаження мови
Language uninstalled successfully,Мова успішно видалена
Language(s),Мова(и)
Language:,Мова:
