Key,Polish
Deleted relationship,Usunięto powiązanie
Deleted successfully.,Usunięto pomyślnie.
Deleted template,Usunięto szablon
Deleted thesaurus,Usunięto tezaurus
Deleted user,Usunięto użytkownika
Deleted user group,Usunięto grupę użytkowników
Deletion success,Usunięcie zakończone powodzeniem
Density,Density
Description,Opis
Deselect all,Deselect all
Details,Details
Direction,Direction
Disable,Wyłącz
Disable highlights,Wyłącz podświetlenia
Disabled 2FA,Wyłączono 2FA
Discard and leave,Discard and leave
Discard and switch,Discard and switch
Discard changes,Odrzuć zmiany
Discard changes?,Odrzucić zmiany?
Dismiss,Zamknij
Display entity view from page,Wyświetl widok obiektu ze strony
Display options,Display options
Do you want disable 2FA for the following users?,Czy chcesz wyłączyć 2FA dla następujących użytkowników?
Do you want reset the password for the following users?,Czy chcesz zresetować hasło dla następujących użytkowników?
Do you want to delete the following items?,Czy chcesz usunąć następujące elementy?
Document,Dokument
Document and entity types,Typy dokumentów i obiektów
Document contents,Zawartość dokumentu
Document OCR trigger,Wyzwalacz OCR dokumentu
Document Title,Tytuł dokumentu
Documentation,Dokumentacja
documents,dokumenty
Documents,Dokumenty
documents.,dokumenty.
Done,Gotowe
Done creating entities,Zakończono tworzenie obiektów
Done creating relationships,Zakończono tworzenie powiązań
Done creating thesauri,Zakończono tworzenie tezaurusów
Done extracting files,Zakończono wyodrębnianie plików
Done scanning,Zakończono skanowanie
Download,Pobierz
Download a third-party authenticator app from your mobile store.,Pobierz aplikację uwierzytelniającą innej firmy ze sklepu mobilnego.
Download all,Download all
Download failed rows,Pobierz wiersze z błędami
Draft restored from release.,Draft restored from release.
Drag and drop file in this window to upload,"Przeciągnij i upuść plik w tym oknie, aby przesłać"
Drag row,Przeciągnij wiersz
Drop your files here to upload or,"Upuść pliki tutaj, aby przesłać lub"
Duplicate values not allowed.,Zduplikowane wartości nie są dozwolone.
Duplicated email,Zduplikowany email
Duplicated name,Zduplikowana nazwa
Duplicated username,Zduplikowana nazwa użytkownika
Duration,Czas trwania
e.g.,e.g.
Each series uses the template brand color when comparing data sources.,Each series uses the template brand color when comparing data sources.
Earlier,Earlier
Edit,Edytuj
Edit at source,Edit at source
Edit Extractor,Edytuj ekstraktor
Edit File,Edytuj plik
Edit group,Edytuj grupę
Edit item,Edytuj element
Edit metadata of entities,Edytuj metadane obiektów
Edit theme,Edytuj motyw
Edit user,Edytuj użytkownika
Editor,Redaktor
editor,redaktor
Editors,Redaktorzy
Email,E-mail
Email address,Adres e-mail
Email updated,Zaktualizowano email
Embed,Embed
Embed in pages,Embed in pages
Empty,Pusty
Empty group. Drop here to add,"Pusta grupa. Upuść tutaj, aby dodać"
empty property tip,"Nie będzie można zapisać obiektu, jeśli ta właściwość jest pusta."
Enable,Włącz
Enable public embedding to use this chart in external sites on private instances.,Enable public embedding to use this chart in external sites on private instances.
Enable this page to be used as an entity view page:,Włącz tę stronę jako stronę widoku obiektu:
Enter the 6-digit verification code generated by your Authenticator app,Wprowadź 6-cyfrowy kod weryfikacyjny wygenerowany przez aplikację Authenticator
"Enter the full username, email, or group name. Suggestions are not shown.","Enter the full username, email, or group name. Suggestions are not shown."
Enter your current password to confirm,"Wprowadź aktualne hasło, aby potwierdzić"
Entities,Obiekty
entities,obiektów
Entities across all languages,Obiekty we wszystkich językach
Entities created,Utworzone obiekty
Entities updated,Entities updated
entities · generated,entities · generated
Entity,Obiekt
Entity creation stage completed.,Etap tworzenia obiektów zakończony.
Entity deleted,Usunięto obiekt
Entity Page,Strona obiektu
Entity saved,Zapisano obiekt
Entity type,Entity type
Entity types,Typy obiektów
Entity updated,Zaktualizowano obiekt
Error,Błąd
Error adding thesauri.,Błąd dodawania tezaurusów.
Error deleting template(s),Błąd usuwania szablonu(-ów)
Error loading your image,Błąd wczytywania obrazu
Error saving template.,Błąd zapisywania szablonu.
Error setting default template,Błąd ustawiania szablonu domyślnego
Error updating thesauri.,Błąd aktualizacji tezaurusów.
exact phrase,exact phrase
Expand all,Rozwiń wszystko
Expand All,Rozwiń wszystko
Export CSV,Eksportuj CSV
Exporting entities to CSV,Eksportowanie obiektów do CSV
Extension Token,Token rozszerzenia
External embed,External embed
Extract new paragraphs,Wyodrębnij nowe akapity
Extract paragraphs,Wyodrębnij akapity
Extracting files,Wyodrębnianie plików
Extracting files from uploaded package.,Wyodrębnianie plików z przesłanej paczki.
Extraction configuration,Konfiguracja ekstrakcji
Extractor Name,Nazwa ekstraktora
Extractor name,Nazwa ekstraktora
Extractor/s deleted,Ekstraktor/y usunięty/e
Extractors,Ekstraktory
Failed,Niepowodzenie
Failed to save table of contents,Nie udało się zapisać spisu treści
Failure details,Szczegóły niepowodzenia
Favicon description,"Favicon to mała ikona reprezentująca Twoją kolekcję w kartach przeglądarki i zakładkach. Domyślnie jest to logo Uwazi. Aby użyć własnej ikony:

1. Prześlij swoją ikonę w Niestandardowych plikach.
2. Skopiuj jej adres URL.
3. Wybierz „Niestandardowa ikona"" i wklej adres URL we wskazanym polu.
4. Odśwież stronę, aby zobaczyć swoją ikonę w działaniu."
Favicon no images hint,Brak plików graficznych w sekcji Niestandardowe przesyłanie. Najpierw dodaj tam obrazy (np. PNG lub SVG).
FEATURED,WYRÓŻNIONE
File,Plik
file,file
File deleted,Plik usunięty
File details,File details
File extraction completed successfully.,Wyodrębnianie plików zakończone pomyślnie.
File name,Nazwa pliku
File preview unavailable,File preview unavailable
File updated,Plik zaktualizowany
Files,Pliki
files,files
Files and database usage,Użycie plików i bazy danych
Fill,Wypełnij
Filter,Filter
Filter unauthorized relationships,"Domyślnie powiązania wskazujące na obiekty o ograniczonym dostępie są widoczne dla anonimowych użytkowników, ale nie działają jako łącza. Po włączeniu tej opcji powiązania te są całkowicie ukryte, dzięki czemu publiczni użytkownicy nie dowiedzą się o istnieniu treści o ograniczonym dostępie."
Filters,Filtry
Filters AND operator,ORAZ
Filters configuration,Filtry
Filters configuration description,Domyślnie użytkownicy mogą filtrować obiekty w bibliotece na podstawie zdefiniowanych przez Ciebie typów. Możesz jednak skonfigurować sposób wyświetlania tych typów obiektów:
Filters configuration example,"wybierz ""Dodaj grupę"" poniżej, aby pogrupować filtry pod etykietą, np. (""Dokumenty"" lub ""Osoby"")"
Filters OR operator,LUB
Filters saved,Zapisano filtry
Find,Znajdź
Find suggestions,Znajdź sugestie
Find suggestions after training,Znajdź sugestie po trenowaniu
Find suggestions for,Znajdź sugestie dla
Find suggestions for selected,Znajdź sugestie dla wybranych
Finding suggestions,Wyszukiwanie sugestii
Fit,Dopasuj
Flag,Flaga
for,dla
For all entities,Dla wszystkich obiektów
For entities with blank values,Dla obiektów z pustymi wartościami
Forgot Password or Username?,Nie pamiętasz hasła lub nazwy użytkownika?
Forgot Password?,Nie pamiętasz hasła?
Forms and email configuration,Konfiguracja formularzy i poczty
From,Od
From all suggestions,Ze wszystkich sugestii
From computer,From computer
From files,From files
From previous step,Z poprzedniego kroku
From selection,From selection
From:,From:
Full mode,Tryb pełny
Full width,Pełna szerokość
General,Ogólne
General access,General access
General Information,Informacje ogólne
Generated ID,Wygenerowany identyfikator
Global CSS,Globalny CSS
Global CSS & JS,Globalny CSS i JS
Global JS,Globalny JS
Google,Google
Google Analytics,Google Analytics
Google Analytics ID,Identyfikator Google Analytics
Google Maps,Google Maps
Group,Grupa
Group by,Group by
group expressions,group expressions
Group Options,Opcje grupy
Group saved,Zapisano grupę
Group updated,Zaktualizowano grupę
Grouped geolocation properties,Zgrupowane właściwości geolokalizacji
Groups,Grupy
Header and button preview,Podgląd nagłówka i przycisków
Header bar active background,Tło aktywnego elementu paska nagłówka
Header bar background,Tło paska nagłówka
Header bar divider,Separator paska nagłówka
Header bar hover background,Tło paska nagłówka po najechaniu kursorem
Header bar text,Tekst paska nagłówka
help,pomoc
here,tutaj
"Hi, I'm Bert.","Hi, I'm Bert."
Hide,Ukryj
Hide actions,Ukryj akcje
Hide details,Hide details
Hide label,Ukryj etykietę
Hide restricted relationships from public,Ukryj powiązania z ograniczonym dostępem przed publicznymi użytkownikami
Hide toolbar,Ukryj pasek narzędzi
HTML,HTML
https://yourdomain,https://twojadomena
hub,hub
hubs,huby
Hybrid,Hybrydowy
Icon,Ikona
ID,ID
ID:,ID:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.","If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","Jeśli jest to zewnętrzny URL, użyj pełnego adresu URL, np. http://www.uwazi.io."
"If you want to continue, please type","Jeśli chcesz kontynuować, wpisz"
Image doesn't match the required size.,Obraz nie ma wymaganego rozmiaru.
Import,Importuj
Import asset,Importuj zasób
Import CSV,Importuj CSV
Import failed. Review details below.,Import nie powiódł się. Sprawdź szczegóły poniżej.
Import finished successfully.,Import zakończony pomyślnie.
Import finished with errors. Review details below.,Import zakończony z błędami. Sprawdź szczegóły poniżej.
Import is currently processing rows.,Import przetwarza obecnie wiersze.
Import is retrying after an error.,Import ponawia próbę po błędzie.
Import theme instance file,Importuj plik motywu instancji
Import was cancelled.,Import został anulowany.
Imported translations from file,Zaimportowano tłumaczenia z pliku
in,w
"In a group, either all relationships must have a hub or none of them.","W grupie albo wszystkie powiązania muszą mieć hub, albo żadne z nich."
In OCR queue,W kolejce do OCR
in this document,in this document
Incoming,Incoming
Info,Informacja
Information extraction training,Trenowanie ekstrakcji informacji
Inherit,Dziedzicz
Inherit property,Dziedziczona właściwość
Inherit type,Dziedziczony typ
"Inherited values are read-only. Change the connection above, or edit the source entity.","Inherited values are read-only. Change the connection above, or edit the source entity."
inherits,inherits
Input,Dane wejściowe
Install,Instaluj
Install Language(s),Instaluj język(i)
Install the browser extension.,Zainstaluj rozszerzenie przeglądarki.
Installing languages,Instalowanie języków
"Instructions on how to achieve this will vary according to the app used, please refer to the app's documentation.","Instrukcje mogą się różnić w zależności od używanej aplikacji, proszę zapoznać się z dokumentacją danej aplikacji."
Instructions to reset password,"Jeśli podany adres e-mail jest poprawny, wyślemy instrukcje resetowania hasła."
Instructions to reset the password were sent to the user,Instrukcje resetowania hasła zostały wysłane do użytkownika
Invalid captcha,Nieprawidłowa captcha
Invalid csv: all the values for a row must be either nested or non-nested,Nieprawidłowy CSV: wszystkie wartości w wierszu muszą być zagnieżdżone lub niezagnieżdżone
Invalid csv: nested value need to be under a non-nested value,Nieprawidłowy CSV: zagnieżdżona wartość musi znajdować się pod niezagnieżdżoną wartością
Invalid form,Wymagany jest wpis lub wartość jest nieprawidłowa. Popraw i spróbuj ponownie.
Invalid URL,Invalid URL
It could also very easily break the app. Only write code here if you know exactly what you are doing.,"Może to także łatwo uszkodzić aplikację. Pisz kod tutaj tylko wtedy, jeśli dokładnie wiesz, co robisz."
it has been logged with request id #,to zostało zarejestrowane z identyfikatorem żądania #
Item,Element
Items:,Elementy:
Javascript,Javascript
key,klucz
Label,Etykieta
"Label date ""From""",Od:
"Label date ""to""",Do:
Labeled,Oznaczony
Landing page,Strona docelowa
Landing page description,"Strona docelowa to pierwsza strona, którą widzą odwiedzający po wejściu do Twojej kolekcji. Domyślnie stroną docelową jest biblioteka kolekcji. Możesz ustawić inną stronę docelową, dodając tutaj jej względny adres URL. Na przykład:
      
Strona: */page/dicxg0oagy3xgr7ixef80k9*
Widok filtrowany w Uwazi: */library/?searchTerm=test*
Obiekt: */entity/9htbkgpkyy7j5rk9*
Dokument: */document/4y9i99fadjp833di*
      
Ważne: Należy używać względnych adresów URL. Zaczynają się one od ukośnika i nie zawierają nazwy domeny. Na przykład: W adresie *https://yoursite.com/landingpage* względny adres URL to /landingpage"
Language,Język
Language Code,Kod języka
Language deleted,Język usunięto
Language reset success,Pomyślnie zresetowano język
Language uninstalled successfully,Język odinstalowano pomyślnie
Language(s),Język(i)
Language:,Język:
Languages,Języki
Languages installed successfully,Języki zainstalowano pomyślnie
Last updated,Ostatnia aktualizacja
Last updated from collection:,Last updated from collection:
Latitude,Szerokość geograficzna
Latitude must be between -90 and 90,Latitude must be between -90 and 90
Learn how to add and configure a contact form on a webpage.,Learn how to add and configure a contact form on a webpage.
Learn how to build your first collection,Learn how to build your first collection
Learn more,Dowiedz się więcej
Learn more about the components.,Learn more about the components.
Legend,Legenda
Lengthy reindex process,Długi proces reindeksacji
Library,Biblioteka
library list view,widok listy biblioteki
library map view,widok mapy biblioteki
library table view,widok tabeli biblioteki
Light,Jasny
Light Theme,Jasny motyw
Link,Link
linked,powiązany
List renders as a table. Use the options below to filter empty or zero values.,List renders as a table. Use the options below to filter empty or zero values.
Live preview,Podgląd na żywo
Live translate,Tłumaczenie na żywo
Load example,Load example
Loading,Ładowanie
Local time,Local time
Login,Logowanie
Login button,Zaloguj się
Login failed,Logowanie nie powiodło się
Logout,Wylogowanie
Longitude,Długość geograficzna
Longitude must be between -180 and 180,Longitude must be between -180 and 180
Lookup help,Lookup help
Lost connection to the server. Your changes may be lost,Utracono połączenie z serwerem. Twoje zmiany mogą zostać utracone
low,niski
Manage site settings and configuration,Zarządzaj ustawieniami i konfiguracją strony
Manage types,Manage types
Manual data,Manual data
