Key,Greek
"Added relation type ""{name}""",Προστέθηκε ο τύπος σχέσης «{name}»
added to hub with the following errors:,προστέθηκε στον κόμβο με τα ακόλουθα σφάλματα:
added to hub.,προστέθηκε στον κόμβο.
Adding a group and its items.,Προσθήκη μιας ομάδας και των στοιχείων της.
Adding items to the thesauri,Προσθήκη στοιχείων στους θησαυρούς
Adjust a few colors; secondary text and muted backgrounds update automatically.,Προσαρμόστε μερικά χρώματα· το δευτερεύον κείμενο και τα απαλά φόντα ενημερώνονται αυτόματα.
Admin,Διαχειριστής
Administrators and Editors,Διαχειριστές και επιμελητές
Administrators and Editors always have edit access,Οι διαχειριστές και οι συντάκτες έχουν πάντα δικαιώματα επεξεργασίας
Admins,Διαχειριστές
Advanced colors,Προηγμένα χρώματα
Advanced ECharts overrides,Προηγμένες παραμετροποιήσεις του ECharts
ALL,ΟΛΑ
All,Όλα
"All changes will be lost, are you sure you want to proceed?","Όλες οι αλλαγές θα χαθούν, είστε σίγουροι ότι θέλετε να προχωρήσετε;"
All data,Όλα τα δεδομένα
All editing options will be disabled.,Όλες οι επιλογές επεξεργασίας θα απενεργοποιηθούν.
All of the paragraphs will be deleted,Όλες οι παράγραφοι θα διαγραφούν
All of the previously created paragraphs will be deleted and recreated after the process.,Όλες οι παράγραφοι που έχουν δημιουργηθεί προηγουμένως θα διαγραφούν και θα δημιουργηθούν εκ νέου μετά τη διαδικασία.
Allow captcha bypass,Παράκαμψη CAPTCHA
Allow public embedding without login,Να επιτρέπεται η δημόσια ενσωμάτωση χωρίς σύνδεση
Already exists,Υπάρχει ήδη
Already the same value.,Ήδη η ίδια τιμή.
Amount,Ποσό
An admin needs to add relationship types before you can create a relationship.,Ο διαχειριστής πρέπει να προσθέσει τύπους σχέσεων προτού μπορέσετε να δημιουργήσετε μια σχέση.
An error has occured while deleting a language:,Παρουσιάστηκε σφάλμα κατά τη διαγραφή μιας γλώσσας:
An error has occured while installing languages:,Παρουσιάστηκε σφάλμα κατά την εγκατάσταση των γλωσσών:
An error has occurred,Παρουσιάστηκε σφάλμα
An error has occurred during data export,Παρουσιάστηκε σφάλμα κατά την εξαγωγή δεδομένων
An error has occurred while installing languages:,Παρουσιάστηκε σφάλμα κατά την εγκατάσταση των γλωσσών:
An error has occurred while uninstalling a language:,Παρουσιάστηκε σφάλμα κατά την απεγκατάσταση μιας γλώσσας:
An error occurred,Παρουσιάστηκε σφάλμα
Analytics,Αναλυτικά στοιχεία
Analytics description,"Αν θέλετε να παρακολουθείτε αναλυτικά στοιχεία σχετικά με τις επισκέψεις στη συλλογή σας, το Uwazi υποστηρίζει τόσο το Google Analytics όσο και το Matomo."
AND OR NOT,AND OR NOT
Any,Οποιοδήποτε
Any entity,Οποιαδήποτε οντότητα
any single character,οποιοσδήποτε χαρακτήρας
Any type,Οποιοσδήποτε τύπος
Anyone can see this entity,Οποιοσδήποτε μπορεί να δει αυτή την οντότητα
Appearance,Εμφάνιση
Apply,Εφαρμογή
Are you sure you want to continue?,Θέλετε σίγουρα να συνεχίσετε;
Are you sure you want to delete,Είστε σίγουροι ότι θέλετε να διαγράψετε
"Are you sure you want to delete the selected visualizations? This action cannot be
              undone.","Είστε σίγουροι ότι θέλετε να διαγράψετε τις επιλεγμένες απεικονίσεις; Αυτή η ενέργεια δεν μπορεί να
              αναιρεθεί."
Are you sure you want to delete this attachment?,Θέλετε σίγουρα να διαγράψετε αυτό το συνημμένο αρχείο;
Are you sure you want to delete this connection?,Θέλετε σίγουρα να διαγράψετε αυτή τη σύνδεση;
Are you sure you want to delete this entity?,Θέλετε σίγουρα να διαγράψετε αυτή την οντότητα;
Are you sure you want to delete this file?,Θέλετε σίγουρα να διαγράψετε αυτό το αρχείο;
Are you sure you want to delete this item?,Θέλετε σίγουρα να διαγράψετε αυτό το στοιχείο;
Are you sure you want to delete this relationship? This action cannot be undone.,Είστε σίγουροι ότι θέλετε να διαγράψετε αυτή τη σχέση; Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.
Are you sure you want to delete this visualization? This action cannot be undone.,Είστε σίγουροι ότι θέλετε να διαγράψετε αυτή την απεικόνιση; Αυτή η ενέργεια δεν μπορεί να αναιρεθεί.
Are you sure?,Θέλετε σίγουρα να συνεχίσετε;
Ask Bert,Ρωτήστε τον Bert
Attachment,Το συνημμένο
Attachment deleted,Το συνημμένο αρχείο διαγράφηκε
Attachment renamed,Το συνημμένο μετονομάστηκε
Attachment uploaded,Το συνημμένο αρχείο μεταφορτώθηκε
Attachments,Συνημμένα αρχεία
Authentication code,Κωδικός πιστοποίησης
Auto,Auto
auto created,αυτόματα δημιουργημένος
Auto-accept suggestions,Αυτόματη αποδοχή προτάσεων
auto-created,αυτόματα δημιουργημένος
Auto-translate,Auto-translate
Automatic Table of Contents,Αυτόματος πίνακας περιεχομένων
Automatically generated,Δημιουργήθηκε αυτόματα
Available default translation,Διαθέσιμη προεπιλεγμένη μετάφραση
Back,Επιστροφή
Back to,Επιστροφή σε
Back to details,Επιστροφή στις λεπτομέρειες
Back to search,Επιστροφή στην αναζήτηση
Bad Request,Κακό αίτημα
Basic,Βασικό
Bert,Bert
Bidirectional,Αμφίδρομος
Body,Σώμα
boolean,boolean
Browse files to upload,Αναζήτηση αρχείων για μεταφόρτωση
"by ids, methods, keywords, etc.","με αναγνωριστικά, μεθόδους, λέξεις-κλειδιά, κ.λπ."
By logging in you accept the essential session cookie required to stay signed in.,Με τη σύνδεσή σας αποδέχεστε το απαραίτητο cookie περιόδου λειτουργίας που απαιτείται για να παραμείνετε συνδεδεμένοι.
Can edit,Μπορεί να επεξεργαστεί
Can see,Μπορεί να δει
Can view,Μπορεί να δει
Cancel,Ακύρωση
cancel csv import,Ακύρωση της διαδικασίας εισαγωγής. Αυτό θα διακόψει τη δημιουργία νέων οντοτήτων. Οι οντότητες που έχουν ήδη δημιουργηθεί δεν θα επηρεαστούν
Canceling,Ακύρωση
Canceling...,Ακύρωση σε εξέλιξη...
Cancelled,Ακυρώθηκε
Cannot connect to server,Δεν είναι δυνατή η σύνδεση με τον διακομιστή
Cannot find extractor,Δεν βρέθηκε ο εξαγωγέας
Captcha,CAPTCHA
Captcha bypass,"Ενεργοποιώντας αυτήν την επιλογή μπορείτε να επιτρέψετε στους χρήστες να υποβάλλουν στα εγκεκριμένα σας πρότυπα χωρίς να χρειάζεται να συμπληρώσουν CAPTCHA.
Η φόρμα θα εξακολουθεί να εμφανίζει το CAPTCHA στους τελικούς χρήστες, αλλά το API endpoint θα επιτρέπει υποβολές χωρίς επικύρωση CAPTCHA εάν συμπεριληφθεί η
κεφαλίδα ""Bypass-Captcha: true"". Αυτή η επιλογή είναι ανασφαλής και μπορεί να χρησιμοποιηθεί για να κατακλύσει την εγκατάστασή σας με ανεπιθύμητο ή επιβλαβές περιεχόμενο."
Cards,Κάρτες
Cards view,Προβολή καρτών
Category,Κατηγορία
Change,Αλλαγή
Change Password,Αλλαγή κωδικού πρόσβασης
Changes in the thesaurus will impact all the entities using these values.,Οι αλλαγές στο θησαυρό θα επηρεάσουν όλες τις οντότητες που χρησιμοποιούν αυτές τις τιμές.
Changing the type will erase all relationships to this entity.,Η αλλαγή του τύπου θα διαγράψει όλες τις σχέσεις με αυτή την οντότητα.
Character support description,"Αυτή η επιλογή βελτιώνει την υποστήριξη για γλώσσες που δεν χρησιμοποιούν λατινικούς χαρακτήρες ως προεπιλεγμένες γλώσσες της συλλογής σας.
Η ενεργοποίηση θα ενημερώσει αυτόματα όλες τις ιδιότητες των προτύπων. Η διαδικασία μπορεί να διαρκέσει αρκετά λεπτά. Η ενεργοποίηση ενδέχεται να αλλάξει τα URL των φίλτρων της βιβλιοθήκης. Ως αποτέλεσμα, εάν έχετε μενού ή συνδέσμους που χρησιμοποιούν τέτοια URL, πιθανώς θα σταματήσουν να λειτουργούν.
Θα χρειαστεί να τα ενημερώσετε χειροκίνητα. Μετά την ενεργοποίηση, δεν θα μπορείτε να επιστρέψετε στην παλαιότερη ονοματολογία ιδιοτήτων. Εάν δεν αντιμετωπίζετε προβλήματα με τα ονόματα των ιδιοτήτων των προτύπων σας, συνιστούμε να μην επιλέξετε αυτήν την επιλογή."
Character support process warning,"Η διαδικασία μπορεί να διαρκέσει αρκετά λεπτά και ενδέχεται να αλλάξει τα URL των φίλτρων της βιβλιοθήκης. Εάν έχετε μενού ή συνδέσμους που χρησιμοποιούν τέτοια URL, πιθανώς θα σταματήσουν να λειτουργούν μετά την ενημέρωση. Θα χρειαστεί να τα ενημερώσετε χειροκίνητα."
Character support revert warning,"Μετά την ενεργοποίηση αυτής της επιλογής, δεν θα μπορείτε να επιστρέψετε στην παλαιότερη ονοματολογία ιδιοτήτων. Εάν δεν αντιμετωπίζετε προβλήματα με τα ονόματα των ιδιοτήτων των προτύπων σας, συνιστούμε να μην επιλέξετε αυτήν την επιλογή."
Chart,Γράφημα
Chart options,Επιλογές γραφήματος
Chart theme,Θέμα γραφήματος
Chart type,Τύπος γραφήματος
Chart type uses a custom view,Ο τύπος γραφήματος χρησιμοποιεί μια προσαρμοσμένη προβολή
Check to make this instance public (non-logged in users can see public documents and entities),Ενεργοποιήστε αυτή την επιλογή για να κάνετε αυτή την εγκατάσταση δημόσια (οι μη συνδεδεμένοι χρήστες μπορούν να δουν δημόσια έγγραφα και οντότητες)
Checking which images fit the requirements,Έλεγχος των εικόνων που πληρούν τις απαιτήσεις...
Choose,Επιλέξτε
Choose PDF files,Choose PDF files
Choose relation type,Επιλέξτε τον τύπο σχέσης
Choose which data to use for training,Επιλέξτε ποια δεδομένα θα χρησιμοποιήσετε για την εκπαίδευση
Chrome header,Επικεφαλίδα Chrome
Clear,Εκκαθάριση
Clear all,Εκκαθάριση όλων
Clear All,Εκκαθάριση όλων
Clear all filters,Εκκαθάριση όλων των φίλτρων
Clear coordinates,Εκκαθάριση συντεταγμένων
Clear Filters,Εκκαθάριση φίλτρων
Clear PDF selection,Εκκαθάριση επιλογής PDF
Clear search,Εκκαθάριση αναζήτησης
Click,Κάντε κλικ
Click to fill,Κάντε κλικ για να συμπληρώσετε
Click to select an image,Κάντε κλικ για να επιλέξετε μια εικόνα
Click to select audio or video,Κάντε κλικ για να επιλέξετε αρχείο ήχου ή βίντεο
Click to select files,Κάντε κλικ για να επιλέξετε αρχεία
Close,Κλείσιμο
Code,Κώδικας
Collaborator,Συνεργάτης
Collaborators,Συνεργάτες
Collapse all,Σύμπτυξη όλων
Collapse All,Σύμπτυξη όλων
Collection,Συλλογή
Collection Name,Όνομα συλλογής
Colors,Χρώματα
Colors come from the server data layer. Preview shows assigned bucket colors when available.,"Τα χρώματα προέρχονται από το επίπεδο δεδομένων του διακομιστή. Η προεπισκόπηση εμφανίζει τα χρώματα που έχουν αντιστοιχιστεί στους κάδους, όταν είναι διαθέσιμα."
Columns,Στήλες
combine or exclude terms,συνδυάστε ή εξαιρέστε όρους
Comfortable,Άνετη
Common sources,Κοινές πηγές
Compact,Συμπαγής
Completed,Ολοκληρώθηκε
Completed with errors,Ολοκληρώθηκε με λάθη
Config,Ρυθμίσεις
Configuration,Διαμόρφωση
Configure filters,Διαμόρφωση φίλτρων
Configure templates,Διαμόρφωση προτύπων
Confirm,Επιβεβαίωση
CONFIRM,ΕΠΙΒΕΒΑΙΩΣΗ
Confirm action,Επιβεβαίωση ενέργειας
Confirm delete connection,Επιβεβαίωση διαγραφής σύνδεσης
Confirm delete multiple items,Θέλετε σίγουρα να διαγράψετε όλα τα επιλεγμένα στοιχεία;
Confirm deletion,Επιβεβαίωση διαγραφής
Confirm deletion of,Επιβεβαίωση διαγραφής
Confirm deletion of entity,Επιβεβαίωση διαγραφής οντότητας
Confirm deletion of file,Επιβεβαίωση διαγραφής αρχείου
Confirm new password,Επιβεβαίωση νέου κωδικού πρόσβασης
Confirm your password,Επιβεβαιώστε τον κωδικό πρόσβασής σας
Connect to a paragraph,Σύνδεση με παράγραφο
Connect to an entity,Σύνδεση με οντότητα
Connect to entity,Σύνδεση με οντότητα
Connected entities,Συνδεδεμένες οντότητες
Connected to server,Συνδεδεμένος με τον διακομιστή
Connection type,Τύπος σύνδεσης
Contact email description,Εδώ μπορείτε να ρυθμίσετε το email επικοινωνίας και το email που εμφανίζεται όταν το Uwazi στέλνει ειδοποίηση σε χρήστη
Contact Form,Φόρμα επικοινωνίας
Contact form email,Email φόρμας επικοινωνίας
Contains,Περιέχει
Content translations,Μεταφράσεις περιεχομένου
Context,Πλαίσιο
Continue,Συνέχεια
Conversion failed,Η μετατροπή απέτυχε
Cookie preferences,Προτιμήσεις για τα cookies
Copied,Αντιγράφηκε
Copied to clipboard,Αντιγράφηκε στο πρόχειρο
Copy,Αντιγραφή
Copy From,Αντιγραφή από
Copy from,Αντιγραφή από
Copy from this entity,Αντιγραφή από αυτή την οντότητα
Copy from...,Αντιγραφή από...
Copy Highlighted,Αντιγραφή επισημασμένου
Copy link,Αντιγραφή συνδέσμου
Copy properties to this entity from,Αντιγραφή ιδιοτήτων σε αυτή την οντότητα από
Copy to clipboard,Αντιγραφή στο πρόχειρο
Could not add media. Please try again.,Δεν ήταν δυνατή η προσθήκη πολυμέσων. Παρακαλώ δοκιμάστε ξανά.
Could not be processed,Δεν ήταν δυνατή η επεξεργασία
Could not create entity,Δεν ήταν δυνατή η δημιουργία οντότητας
Could not detect the area for the selected text,Δεν εντοπίστηκε η περιοχή του επιλεγμένου κειμένου. Επιλέξτε ξανά.
Could not load suggestions.,Δεν ήταν δυνατή η φόρτωση των προτάσεων.
Could not reach server. Please try again later.,Δεν ήταν δυνατή η πρόσβαση στο διακομιστή. Προσπαθήστε ξανά αργότερα.
Count,Αριθμός
Create,Δημιουργία
CREATE,ΔΗΜΙΟΥΡΓΙΑ
Create a type to continue.,Δημιουργήστε έναν τύπο για να συνεχίσετε.
Create and edit thesauri,Δημιουργία και επεξεργασία θησαυρών
Create Connection,Δημιουργία σύνδεσης
Create entity,Δημιουργία οντότητας
Create Entity,Δημιουργία οντότητας
Create Extractor,Δημιουργία εξαγωγέα
Create new entities and upload documents,Δημιουργία νέων οντοτήτων και μεταφόρτωση εγγράφων
Create new entity from selection,Δημιουργία νέας οντότητας από την επιλογή
Create Reference,Δημιουργία αναφοράς
Create relationship,Δημιουργία σχέσης
Create relationship types,Δημιουργία τύπων σχέσεων
Create relationships and references,Δημιουργία σχέσεων και αναφορών
Create table of contents,Δημιουργία πίνακα περιεχομένων
Create visualization,Δημιουργία απεικόνισης
Created,Δημιουργημένο
Created entity,Δημιουργήθηκε οντότητα
Created entity coming from a public form,Δημιουργήθηκε οντότητα από δημόσια φόρμα
Created page,Δημιουργήθηκε σελίδα
Created relation type,Δημιουργήθηκε τύπος σχέσης
Created relationship,Δημιουργήθηκε σχέση
Created template,Δημιουργήθηκε πρότυπο
Created thesaurus,Δημιουργήθηκε θησαυρός
Created user group,Δημιουργήθηκε ομάδα χρηστών
Creating entities,Δημιουργία οντοτήτων
Creating relationships,Δημιουργία σχέσεων
Creating thesauri,Δημιουργία θησαυρών όρων
Creation date,Ημερομηνία δημιουργίας
CSS,CSS
csv blank state message,Εισαγάγετε αρχεία CSV ή ZIP για να δημιουργήσετε οντότητες μαζικά. Επιλέξτε **+ Εισαγωγή CSV** για να ξεκινήσετε.
CSV Import,Εισαγωγή αρχείου CSV
CSV import cancelled,Η εισαγωγή CSV ακυρώθηκε
CSV import completed,Η εισαγωγή CSV ολοκληρώθηκε
CSV import failed,Η εισαγωγή CSV απέτυχε
CSV or ZIP up to 50MB,CSV ή ZIP έως 50 MB
Ctrl K,Ctrl K
Current Value/Suggestion,Τρέχουσα αξία/πρόταση
"Custom colors are not available for this chart type. Use the chart palette or template
            colors instead.","Τα προσαρμοσμένα χρώματα δεν είναι διαθέσιμα για αυτόν τον τύπο γραφήματος. Χρησιμοποιήστε αντ’ αυτού την παλέτα χρωμάτων του γραφήματος ή τα
 χρώματα του προτύπου."
Custom component error,Σφάλμα σήμανσης προσαρμοσμένου στοιχείου: μη υποστηριζόμενες τιμές! Ελέγξτε τις ρυθμίσεις σας.
Custom CSS,Προσαρμοσμένο CSS
Custom Favicon,Προσαρμοσμένο Favicon
Custom JS,Προσαρμοσμένο JS
Custom landing page,Προσαρμοσμένη αρχική σελίδα
custom page error warning,Παρουσιάστηκε απροσδόκητο σφάλμα σε αυτήν την προσαρμοσμένη σελίδα και ενδέχεται να μην λειτουργεί σωστά. Επικοινωνήστε με έναν διαχειριστή για λεπτομέρειες.
Custom Uploads,Προσαρμοσμένες μεταφορτώσεις
Customize,Προσαρμογή
Customized,Προσαρμοσμένο
Dark,Σκουρόχρωμο
Dark Theme,Σκουρόχρωμο θέμα
Dashboard,Πίνακας ελέγχου
Data may be outdated.,Τα δεδομένα ενδέχεται να είναι παλιά.
Data source,Πηγή δεδομένων
Data sources,Πηγές δεδομένων
Data visualizations,Απεικονίσεις δεδομένων
Data was updated recently. You can refresh again in a few seconds.,Τα δεδομένα ενημερώθηκαν πρόσφατα. Μπορείτε να ανανεώσετε ξανά σε λίγα δευτερόλεπτα.
Date,Ημερομηνία
Date added,Ημερομηνία προσθήκης
Date modified,Ημερομηνία τροποποίησης
"Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date).","Η επιλογή «Ημερομηνία» ή «Αριθμητική τιμή × αριθμητική τιμή» ενεργοποιεί το γράφημα διασποράς και τον θερμικό χάρτη. Τα γραφήματα γραμμής, περιοχής και ράβδων απεικονίζουν το
                μέτρο ως προς την κύρια διάσταση (π.χ. μέγιστο μέγεθος κινητήρα ανά ημερομηνία ταξινόμησης)."
"Date or numeric × select enables line and area charts with one line per breakdown
                value over time.","Η επιλογή «Ημερομηνία ή αριθμητική τιμή ×» επιτρέπει τη δημιουργία γραφημάτων γραμμής και περιοχής με μία γραμμή ανά τιμή ανάλυσης
 ανά χρονική περίοδο."
Date range,Χρονικό διάστημα
Day,Ημέρα
"Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab.","Ενσωματωμένες σε βάθος στην επιλογή ECharts που δημιουργήθηκε. Χρησιμοποιήστε τις για την προσαρμογή παραμέτρων που δεν εμφανίζονται στην
          καρτέλα «Γράφημα»."
Default,Προεπιλογή
Default date format,Προεπιλεγμένη μορφή ημερομηνίας
Default filter,Προεπιλεγμένο φίλτρο
Default language,Προεπιλεγμένη γλώσσα
Default language change success,Επιτυχία αλλαγής προεπιλεγμένης γλώσσας
Default template,Προεπιλεγμένο πρότυπο
Default template set successfully.,Το προεπιλεγμένο πρότυπο ορίστηκε με επιτυχία.
Default View,Προεπιλεγμένη προβολή
Delete,Διαγραφή
DELETE,ΔΙΑΓΡΑΦΗ
Delete entities and documents,Διαγραφή οντοτήτων και εγγράφων
Delete file,Διαγραφή αρχείου
Delete relationship,Διαγραφή σχέσης
Delete relationships,Διαγραφή σχέσεων
Delete?,Διαγραφή;
Deleted attachment,Διαγράφηκε συνημμένο αρχείο
Deleted custom file,Διαγράφηκε προσαρμοσμένο αρχείο
Deleted entity,Διαγράφηκε οντότητα
Deleted file,Διαγράφηκε αρχείο
Deleted multiple entities,Διαγράφηκαν πολλαπλές οντότητες
Deleted page,Διαγράφηκε σελίδα
Deleted relation type,Διαγράφηκε τύπος σχέσης
Deleted relationship,Διαγράφηκε σχέση
Deleted successfully.,Διαγράφηκε επιτυχώς.
Deleted template,Διαγράφηκε πρότυπο
Deleted thesaurus,Διαγράφηκε θησαυρός
Deleted user,Διαγράφηκε χρήστης
Deleted user group,Διαγράφηκε ομάδα χρηστών
Deletion success,Επιτυχία διαγραφής
Density,Πυκνότητα
Description,Περιγραφή
Deselect all,Αποεπιλογή όλων
Details,Λεπτομέρειες
Direction,Κατεύθυνση
Disable,Απενεργοποίηση
Disable highlights,Απενεργοποίηση επισημάνσεων
Disabled 2FA,Απενεργοποιημένο 2FA
Discard,Απόρριψη
Discard changes,Απόρριψη αλλαγών
Discard changes?,Απόρριψη αλλαγών;
Dismiss,Απόκρυψη
Display entity view from page,Προβολή οντότητας από σελίδα
Display options,Επιλογές εμφάνισης
Do you want disable 2FA for the following users?,Θέλετε να απενεργοποιήσετε το 2FA για τους ακόλουθους χρήστες;
Do you want reset the password for the following users?,Θέλετε να επαναφέρετε τον κωδικό πρόσβασης για τους ακόλουθους χρήστες;
Do you want to delete the following items?,Θέλετε να διαγράψετε τα ακόλουθα στοιχεία;
Document,Έγγραφο
Document contents,Περιεχόμενο εγγράφου
Document OCR trigger,OCR εγγράφου
Document Title,Τίτλος εγγράφου
Document updated,Το έγγραφο ενημερώθηκε
Documentation,Τεκμηρίωση
documents,έγγραφα
Documents,Έγγραφα
documents.,έγγραφα.
Done,Τέλος
Done creating entities,Ολοκληρώθηκε η δημιουργία οντοτήτων
Done creating relationships,Ολοκληρώθηκε η δημιουργία σχέσεων
Done creating thesauri,Ολοκληρώθηκε η δημιουργία των θησαυρών όρων
Done extracting files,Ολοκληρώθηκε η εξαγωγή των αρχείων
Done scanning,Ολοκληρώθηκε η σάρωση
Download,Λήψη
Download a third-party authenticator app from your mobile store.,Κατεβάστε μια εφαρμογή πιστοποίησης ταυτότητας από το το κατάστημα εφαρμογών της συσκευής σας.
Download all,Λήψη όλων
Download failed rows,Λήψη σειρών που απέτυχαν
Draft restored from release.,Το προσχέδιο αποκαταστάθηκε από την έκδοση.
Drag and drop file in this window to upload,Σύρετε και αποθέστε αρχείο σε αυτό το παράθυρο για μεταφόρτωση
Drag row,Σύρετε γραμμή
Drop your files here to upload or,Αποθέστε τα αρχεία σας εδώ για μεταφόρτωση ή
Duplicate values not allowed.,Δεν επιτρέπονται διπλότυπες τιμές.
Duplicated email,Διπλότυπο email
Duplicated name,Διπλότυπο όνομα
Duplicated username,Διπλότυπο όνομα χρήστη
Duration,Διάρκεια
e.g.,π.χ.
Each series uses the template brand color when comparing data sources.,Κάθε σειρά χρησιμοποιεί το χρώμα της μάρκας που ορίζεται στο πρότυπο κατά τη σύγκριση των πηγών δεδομένων.
Earlier,Νωρίτερα
Edit,Επεξεργασία
Edit at source,Επεξεργασία στην πηγή
Edit date,Ημερομηνία τροποποίησης
Edit Extractor,Επεξεργασία εξαγωγέα
Edit File,Επεξεργασία αρχείου
Edit group,Επεξεργασία ομάδας
Edit item,Επεξεργασία στοιχείου
Edit metadata of entities,Επεξεργασία μεταδεδομένων οντοτήτων
Edit theme,Επεξεργασία θέματος
Edit user,Επεξεργασία χρήστη
Edited,Επεξεργασμένο
Editor,Επιμελητής
editor,Επιμελητής
Editors,Επιμελητές
Email,Email
Embed,Ενσωμάτωση
Embed in pages,Ενσωμάτωση σε σελίδες
Empty,Κενό
Empty group. Drop here to add,Κενή ομάδα. Αποθέστε εδώ για προσθήκη.
empty property tip,Δεν είναι δυνατή η αποθήκευση οντότητας εάν αυτή η ιδιότητα είναι κενή.
Enable,Ενεργοποίηση
Enable public embedding to use this chart in external sites on private instances.,Ενεργοποιήστε τη δημόσια ενσωμάτωση για να χρησιμοποιήσετε αυτό το γράφημα σε εξωτερικούς ιστότοπους σε ιδιωτικές εγκαταστάσεις.
Enable this page to be used as an entity view page:,Ενεργοποίηση αυτής της σελίδας για χρήση ως σελίδα προβολής οντοτήτων:
Enter the 6-digit verification code generated by your Authenticator app,Εισάγετε τον 6ψήφιο κωδικό επαλήθευσης που δημιουργείται από την εφαρμογή πιστοποίησης ταυτότητας.
