Key,Turkish
Bidirectional,İki yönlü
Body,Gövde
boolean,boolean
Browse files to upload,Yüklenecek dosyalara göz atın
"by ids, methods, keywords, etc.","kimliklere, yöntemlere, anahtar kelimelere vb. göre"
By logging in you accept the essential session cookie required to stay signed in.,"Giriş yaparak, oturumunuzu açık tutmak için gerekli olan temel oturum çerezini kabul etmiş olursunuz."
Can edit,Düzenleyebilir
Can see,Görebilir
Can view,Görüntüleyebilir
Cancel,İptal et
cancel csv import,"İçe aktarma işlemini iptal edin. Bu işlem, yeni varlıkların oluşturulmasını durduracaktır. Halihazırda oluşturulmuş varlıklar bundan etkilenmeyecektir."
Canceling,İptal etme
Canceling...,İptal ediliyor...
Cancelled,İptal edildi
Cannot connect to server,Sunucuya bağlanılamıyor
Cannot find extractor,Çıkarıcı bulunamıyor
Captcha,Güvenlik kodu
Captcha bypass,"Bunu etkinleştirdiğinizde, kullanıcıların bir güvenlik kodu doldurmak zorunda kalmadan beyaz listeye alınmış şablonlarınıza gönderim yapmasına izin verebilirsiniz.
Form, son kullanıcılara güvenlik kodunu göstermeye devam edecektir; ancak API uç noktası, bir
""Bypass-Captcha: true"" başlığı gönderildiğinde güvenlik kodu doğrulaması olmadan gönderimlere izin verecektir. Bu seçenek güvensizdir ve örneğinizi spam veya
kötü amaçlı içerikle doldurmak için kullanılabilir."
Cards,Fişler
Cards view,Fiş görünümü
Category,Kategori
Change,Değiştir
Change Password,Şifreyi Değiştir
Changes in the thesaurus will impact all the entities using these values.,"Thesaurus'ta yapılacak değişiklikler, bu değerleri kullanan tüm varlıkları etkileyecektir."
Changing the type will erase all relationships to this entity.,"Türü değiştirmek, bu varlıkla olan tüm ilişkileri silecektir."
Character support description,"Bu seçenek, koleksiyonunuzun varsayılan dilleri olarak Latin alfabesi dışındaki dillere yönelik desteği artırır.
Bu seçeneği işaretlemek tüm şablon özelliklerini otomatik olarak güncelleyecektir. Bu işlem birkaç dakika sürebilir. Bu seçeneği işaretlemek, kütüphane filtrelerinin URL'lerini büyük olasılıkla değiştirecektir. Bunun sonucunda, bu tür URL'leri kullanan menüleriniz veya bağlantılarınız varsa, muhtemelen çalışmayı durduracaklardır.
Bunları manuel olarak güncellemeniz gerekecektir. Bu seçeneği işaretledikten sonra, eski özellik adlandırma biçimine geri dönemeyeceksiniz. Şablon özellik adlarınızla ilgili bir sorun yaşamıyorsanız, bu seçeneği işaretlemeden bırakmanızı öneririz."
Character support process warning,"Bu işlem birkaç dakika sürebilir ve muhtemelen URL’leri kütüphane filtrelerine dönüştürecektir. Bu tür URL’leri kullanan menüleriniz veya bağlantılarınız varsa, güncellemeden sonra muhtemelen çalışmaz hale gelecektir. Bunları manuel olarak güncellemeniz gerekecektir."
Character support revert warning,"Bu seçeneği seçtikten sonra, eski özellik adlandırma sistemine geri dönemezsiniz. Şablon özellik adlarınızla ilgili herhangi bir sorun yaşamıyorsanız, bu seçeneği işaretlememenizi öneririz."
Chart,Grafik
Chart options,Grafik seçenekleri
Chart theme,Grafik teması
Chart type,Grafik türü
Chart type uses a custom view,"Grafik türü, özel bir görünüm kullanır"
Check to make this instance public (non-logged in users can see public documents and entities),"Bu örneğin herkese açık olmasını sağlamak için işaretleyin (giriş yapmamış kullanıcılar, herkese açık belgeleri ve varlıkları görebilir)"
Checking which images fit the requirements,Hangi resimlerin gereksinimlere uygun olduğu kontrol ediliyor...
Choose,Seç
Choose relation type,İlişki türünü seçin
Choose which data to use for training,Eğitim için hangi verilerin kullanılacağını seçin
Chrome header,Başlık çubuğu
Clear,Temizle
Clear all,Tümünü temizle
Clear All,Tümünü Temizle
Clear all filters,Tüm filtreleri temizle
Clear coordinates,Koordinatları temizle
Clear Filters,Filtreleri Temizle
Clear PDF selection,PDF seçimini temizle
Clear search,Aramayı temizle
Click,Tıkla
Click to fill,Doldurmak için tıklayın
Click to select an image,Bir resim seçmek için tıklayın
Click to select audio or video,Ses veya videoyu seçmek için tıklayın
Click to select files,Dosyaları seçmek için tıklayın
Close,Kapat
Code,Kod
Collaborator,Katkı Sunan
Collaborators,Katkı Sunanlar
Collapse all,Tümünü daralt
Collapse All,Tümünü Daralt
Collection,Koleksiyon
Collection Name,Koleksiyon Adı
Colors,Renkler
Colors come from the server data layer. Preview shows assigned bucket colors when available.,"Renkler, sunucu veri katmanından alınır. Önizleme, mevcut olduğunda atanan kova renklerini gösterir."
Columns,Sütunlar
combine or exclude terms,terimleri birleştirmek veya hariç tutmak
Comfortable,Rahat
Common sources,Yaygın kaynaklar
Compact,Kompakt
Completed,Tamamlandı
Completed with errors,Hatalarla tamamlandı
Config,Yapılandırma
Configuration,Yapılandırma
Configure filters,Filtreleri yapılandır
Configure templates,Şablonları yapılandır
Confirm,Onayla
CONFIRM,ONAYLA
Confirm action,Eylemi onayla
Confirm delete connection,Bağlantıyı silmeyi onaylayın
Confirm delete multiple items,Seçilen tüm öğeleri silmek istediğinizden emin misiniz?
Confirm deletion,Silmeyi onayla
Confirm deletion of,Şunun silinmesini onaylayın:
Confirm deletion of entity,Varlığın silinmesini onaylayın
Confirm deletion of file,Dosyanın silinmesini onaylayın
Confirm new password,Yeni parolayı onayla
Confirm your password,Şifrenizi onaylayın
Connect to a paragraph,Bir paragrafa bağla
Connect to an entity,Bir varlığa bağlan
Connect to entity,Varlığa bağlan
Connected entities,Bağlı varlıklar
Connected to server,Sunucuya bağlandı
Connection type,Bağlantı türü
Contact email description,"Burada, iletişim e-postasını ve Uwazi'nin bir kullanıcıya bildirim gönderdiğinde görüntülenen e-postayı ayarlayabilirsiniz"
Contact Form,İletişim Formu
Contact form email,İletişim formu e-posta adresi
Contains,İçerir
Content translations,İçerik çevirileri
Context,Bağlam
Continue,Devam et
Conversion failed,Dönüştürülemedi
Cookie preferences,Çerez tercihleri
Copied,Kopyalandı
Copied to clipboard,Panoya kopyalandı
Copy,Kopyala
Copy From,Şuradan kopyala
Copy from,Şuradan kopyala
Copy from this entity,Bu varlıktan kopyala
Copy from...,Şuradan kopyala...
Copy Highlighted,Vurgulananları Kopyala
Copy link,Bağlantıyı kopyala
Copy properties to this entity from,Özellikleri şuradan bu varlığa kopyala
Copy to clipboard,Panoya kopyala
Could not add media. Please try again.,Medya eklenemedi. Lütfen tekrar deneyin.
Could not be processed,İşlenemedi
Could not create entity,Varlık oluşturulamadı
Could not detect the area for the selected text,Seçilen metnin bulunduğu alan tespit edilemedi; lütfen tekrar seçmeyi deneyin.
Could not load suggestions.,Öneriler yüklenemedi.
Could not reach server. Please try again later.,Sunucuya ulaşılamadı. Lütfen daha sonra tekrar deneyin.
Count,Sayı
Create,Oluştur
CREATE,Oluştur
Create a type to continue.,Devam etmek için bir tür oluşturun.
Create and edit thesauri,Thesaurus oluşturma ve düzenleme
Create Connection,Bağlantı Oluştur
Create entity,Varlık oluştur
Create Entity,Varlık oluştur
Create Extractor,Çıkarıcı Oluştur
Create new entities and upload documents,Yeni varlıklar oluşturun ve belgeleri yükleyin
Create new entity from selection,Seçimden yeni varlık oluştur
Create Reference,Referans Oluştur
Create relationship,İlişki oluştur
Create relationship types,İlişki türleri oluşturma
Create relationships and references,İlişkiler ve referanslar oluşturun
Create table of contents,İçindekiler oluştur
Create visualization,Görselleştirme oluştur
Created,Oluşturuldu
Created entity,Varlık oluşturuldu
Created entity coming from a public form,Genel bir formdan oluşturulan varlık
Created page,Sayfa oluşturuldu
Created relation type,İlişki türü oluşturuldu
Created relationship,İlişki oluşturuldu
Created template,Şablon oluşturuldu
Created thesaurus,Thesaurus oluşturuldu
Created user group,Kullanıcı grubu oluşturuldu
Creating entities,Varlıklar oluşturuluyor
Creating relationships,İlişkiler oluşturuluyor
Creating thesauri,Thesaurus oluşturuluyor
Creation date,Oluşturulma tarihi
CSS,CSS
csv blank state message,CSV veya ZIP dosyalarını içe aktararak varlıkları toplu olarak oluşturun. Başlamak için **+ CSV'yi İçe Aktar** seçeneğini seçin.
CSV Import,CSV İçe Aktarma
CSV import cancelled,CSV içe aktarma işlemi iptal edildi
CSV import completed,CSV içe aktarma işlemi tamamlandı
CSV import failed,CSV içe aktarma işlemi başarısız oldu
CSV or ZIP up to 50MB,CSV veya ZIP dosyası (en fazla 50 MB)
Ctrl K,Ctrl K
Current Value/Suggestion,Mevcut Değer/Öneri
"Custom colors are not available for this chart type. Use the chart palette or template
            colors instead.","Bu grafik türü için özel renkler kullanılamaz. Bunun yerine grafik paletini veya şablon
renklerini kullanın."
Custom component error,Özel bileşen biçimlendirme hatası: desteklenmeyen değerler! Lütfen yapılandırmanızı kontrol edin
Custom CSS,Özel CSS
Custom Favicon,Özel Favicon
Custom JS,Özel JS
Custom landing page,Özel açılış sayfası
custom page error warning,Bu özel sayfada beklenmedik bir hata oluştu; sayfa düzgün çalışmayabilir. Ayrıntılar için lütfen bir yöneticiyle iletişime geçin.
Custom Uploads,Özel Yüklemeler
Customize,Kişiselleştir
Customized,Kişiye özel
Dark,Koyu
Dark Theme,Koyu Tema
Dashboard,Kontrol Paneli
Data may be outdated.,Veriler güncel olmayabilir.
Data source,Veri kaynağı
Data sources,Veri kaynakları
Data visualizations,Veri görselleştirmeleri
Data was updated recently. You can refresh again in a few seconds.,Veriler kısa süre önce güncellendi. Birkaç saniye sonra sayfayı yeniden yükleyebilirsiniz.
Date,Tarih
Date added,Eklenme tarihi
Date modified,Değiştirilme tarihi
"Date or numeric × numeric enables scatter and heatmap. Line, area, and bar plot the
                measure over the primary dimension (e.g. max engine size per registration date).","Tarih veya sayısal × sayısal seçenekleri, dağılım grafiği ve ısı haritası oluşturmaya olanak tanır. Çizgi, alan ve çubuk grafikleri ise
ölçümü birincil boyuta göre gösterir (örn. kayıt tarihine göre maksimum motor boyutu)."
"Date or numeric × select enables line and area charts with one line per breakdown
                value over time.","""Tarih veya sayısal × seçim"" seçeneği, zaman içindeki her bir ayrıntı
değeri için bir çizgi içeren çizgi ve alan grafiklerini etkinleştirir."
Date range,Tarih aralığı
Day,Gün
"Deep-merged onto the generated ECharts option. Use for fine-tuning options not exposed in
          the Chart tab.","Oluşturulan ECharts seçeneğine derinlemesine entegre edilmiştir.
“Grafik” sekmesinde gösterilmeyen seçenekleri ince ayarlamak için kullanın."
Default,Varsayılan
Default date format,Varsayılan tarih biçimi
Default filter,Varsayılan filtre
Default language,Varsayılan dil
Default language change success,Varsayılan dil değişikliği başarısı
Default template,Varsayılan şablon
Default template set successfully.,Varsayılan şablon başarıyla ayarlandı.
Default View,Varsayılan Görünüm
Delete,Sil
DELETE,Sil
Delete entities and documents,Varlıkları ve belgeleri sil
Delete file,Dosyayı sil
Delete relationship,İlişkiyi sil
Delete relationships,İlişkileri sil
Delete?,Silmek mi?
Deleted attachment,Silinen ek
Deleted custom file,Silinen özel dosya
Deleted entity,Silinen varlık
Deleted file,Silinen dosya
Deleted multiple entities,Silinen birden fazla varlık
Deleted page,Silinen sayfa
Deleted relation type,Silinen ilişki türü
Deleted relationship,Silinen ilişki
Deleted successfully.,Başarıyla silindi.
Deleted template,Silinen şablon
Deleted thesaurus,Silinen Thesaurus
Deleted user,Silinen kullanıcı
Deleted user group,Silinen kullanıcı grubu
Deletion success,Silme işlemi başarıyla tamamlandı
Density,Yoğunluk
Description,Tanım
Deselect all,Tüm seçimi kaldır
Details,Ayrıntılar
Direction,Yön
Disable,Devre dışı bırak
Disable highlights,Vurgulamaları devre dışı bırak
Disabled 2FA,2FA Devre Dışı Bırakıldı
Discard,Vazgeç
Discard changes,Değişiklikleri göz ardı et
Discard changes?,Değişikliklerden vazgeçmek istiyor musunuz?
Dismiss,Kapat
Display entity view from page,Sayfadan varlık görünümünü görüntüle
Display options,Görüntüleme seçenekleri
Do you want disable 2FA for the following users?,Aşağıdaki kullanıcılar için 2FA'yı devre dışı bırakmak istiyor musunuz?
Do you want reset the password for the following users?,Aşağıdaki kullanıcıların şifrelerini sıfırlamak istiyor musunuz?
Do you want to delete the following items?,Aşağıdaki öğeleri silmek istiyor musunuz?
Document,Belge
Document contents,Belge içeriği
Document OCR trigger,Belge OCR tetikleyicisi
Document Title,Belge Başlığı
Document updated,Belge güncellendi
Documentation,Dokümantasyon
documents,Belgeler
Documents,Belgeler
documents.,belgeler.
Done,Tamam
Done creating entities,Varlıkların oluşturulması tamamlandı
Done creating relationships,İlişkilerin oluşturulması tamamlandı
Done creating thesauri,Thesaurus değerlerinin oluşturulması tamamlandı
Done extracting files,Dosyaların çıkarılması tamamlandı
Done scanning,Tarama tamamlandı
Download,Özel filtre için belgeler
Download a third-party authenticator app from your mobile store.,Mobil uygulama mağazasından bir üçüncü taraf kimlik doğrulama uygulamasını indirin.
Download all,Hepsini indir
Download failed rows,Başarısız satırları indir
Draft restored from release.,Taslak sürümden geri yüklendi.
Drag and drop file in this window to upload,Yüklemek için dosyayı bu pencerede sürükleyip bırakın
Drag row,Satırı sürükle
Drop your files here to upload or,Dosyalarınızı yüklemek için buraya bırakın veya
Duplicate values not allowed.,Aynı değerler kullanılamaz.
Duplicated email,Mükerrer e-posta
Duplicated name,Mükerrer ad
Duplicated username,Mükerrer kullanıcı adı
Duration,Süre
e.g.,örn.
Each series uses the template brand color when comparing data sources.,"Her seri, veri kaynaklarını karşılaştırırken şablondaki marka rengini kullanır."
Earlier,Daha önce
Edit,Düzenle
Edit at source,Kaynakta düzenle
Edit date,Değiştirilme tarihi
Edit Extractor,Çıkarıcıyı Düzenle
Edit File,Dosyayı Düzenle
Edit group,Grubu düzenle
Edit item,Öğeyi düzenle
Edit metadata of entities,Varlıkların meta verilerini düzenle
Edit theme,Temayı düzenle
Edit user,Kullanıcıyı düzenle
Edited,Düzenlendi
Editor,Editör
editor,Editör
Editors,Editörler
Email,E-posta
Embed,Gömme
Embed in pages,Sayfalara gömme
Empty,Boş
Empty group. Drop here to add,Boş grup. Eklemek için buraya sürükleyin
empty property tip,"Bu özellik boşsa, bir varlığı kaydedemezsiniz."
Enable,Etkinleştir
Enable public embedding to use this chart in external sites on private instances.,Özel örneklerdeki bu grafiği harici sitelerde kullanmak için genel gömme özelliğini etkinleştirin.
Enable this page to be used as an entity view page:,Bu sayfayı varlık görünümü sayfası olarak kullanmak için etkinleştirin:
Enter the 6-digit verification code generated by your Authenticator app,Authenticator uygulamanız tarafından oluşturulan 6 haneli doğrulama kodunu girin
"Enter the full username, email, or group name. Suggestions are not shown.","Kullanıcı adını, e-posta adresini veya grup adını tam olarak girin. Öneriler gösterilmez."
Enter your current password to confirm,Onaylamak için mevcut şifrenizi girin
Entities,Varlıklar
entities,Varlıklar
Entities across all languages,Tüm dillerdeki varlıklar
Entities created,Oluşturulan varlıklar
Entities updated,Güncellenen varlıklar
entities · generated,varlıklar · oluşturulan
Entity,Varlık
Entity creation stage completed.,Varlık oluşturma aşaması tamamlandı.
Entity deleted,Varlık silindi
Entity Page,Varlık Sayfası
Entity saved,Varlık kaydedildi
Entity scope,Varlık kapsamı
Entity type,Varlık türü
Entity types,Varlık türü
Entity updated,Varlık güncellendi
Error,Hata
Error adding thesauri.,Thesaurus eklenirken hata oluştu.
Error loading your image,Resminiz yüklenirken hata oluştu
Error saving template.,Şablonu kaydetme hatası.
Error updating thesauri.,Thesaurus güncellenirken hata oluştu.
Every language has a value — use the re-translate button on a row,Every language has a value — use the re-translate button on a row
evidence,kanıt
exact phrase,tam ifade
Expand all,Tümünü genişlet
Expand All,Tümünü Genişlet
Export CSV,CSV'yi dışa aktar
Exporting entities to CSV,Varlıkları CSV'ye dışa aktarma
Extension Token,Uzantı Jetonu
External embed,Dış kaynaklı gömme
Extract new paragraphs,Yeni paragrafları ayıkla
Extract paragraphs,Paragrafları ayıklayın
Extracting files,Dosyalar çıkarılıyor
Extracting files from uploaded package.,Yüklenen paketten dosyalar çıkarılıyor.
Extraction configuration,Çıkarma yapılandırması
Extractor Name,Çıkarıcı Adı
Extractor name,Çıkarıcı adı
Extractor/s deleted,Çıkarıcı(lar) silindi
Extractors,Çıkarıcılar
Failed,Başarısız
Failed to mark table of contents as reviewed,İçindekiler bölümünü “incelendi” olarak işaretleme işlemi başarısız oldu
Failed to save table of contents,İçindekiler kaydedilemedi
Failure details,Hata ayrıntıları
Favicon description,"Favicon, tarayıcı sekmelerinde ve yer imlerinde koleksiyonunuzu temsil eden küçük bir simgedir. Varsayılan favicon, Uwazi logosudur. Kendi simgenizi kullanmak için:

1. Gerekirse simgenizi “Özel Yüklemeler” bölümüne yükleyin.
2. ""Favicon görüntüsünü seç"" seçeneğine tıklayın ve bir dosya seçin (yalnızca Özel Yüklemeler bölümündeki görüntüler).
3. Sayfayı yeniden yükleyerek favicon'unuzun nasıl göründüğünü kontrol edin."
Favicon no images hint,Favicon için resim bulunmuyor uyarısı
FEATURED,ÖNE ÇIKANLAR
File,Dosya
file,dosya
File deleted,Dosya silindi
File details,Dosya ayrıntıları
File extraction completed successfully.,Dosya çıkarma işlemi başarıyla tamamlandı.
File name,Dosya adı
File preview unavailable,Dosya önizlemesi mevcut değil
File updated,Dosya güncellendi
Files,Dosyalar
files,dosyalar
Files and database usage,Dosya ve veritabanı kullanımı
Fill,Doldur
Filter,Filtre
Filter unauthorized relationships,"Varsayılan olarak, kısıtlanmış varlıklara yönelen ilişkiler anonim kullanıcılar tarafından görülebilir, ancak bağlantılı değildir. Bu özellik etkinleştirildiğinde, bu ilişkiler tamamen gizlenir ve böylece genel kullanıcıların kısıtlanmış içeriğin varlığından haberdar olmaları engellenir."
Filters,Filtreler
Filters AND operator,VE
Filters configuration,Filtreler
Filters configuration description,"Varsayılan olarak, kullanıcılar kütüphanedeki varlıkları tanımladığınız türlere göre filtreleyebilir. Ancak, bu varlık türlerinin nasıl görüntüleneceğini yapılandırabilirsiniz:"
Filters configuration example,"Filtreleri bir etiket altında gruplamak için aşağıdaki ""Grup ekle"" seçeneğini kullanın, örn. (""Belgeler"" veya ""Kişiler"")"
Filters OR operator,YA DA
Filters saved,Filtreler kaydedildi
Find,Bul
Find suggestions,Öneri bulma
Find suggestions after training,Antrenmandan sonra önerileri bulun
Find suggestions for,Şunlar için öneriler bulun:
Find suggestions for selected,Seçilenler için önerileri bulun
Finding suggestions,Öneriler bulunuyor
Fit,Yerleştirmek
Flag,İşaretle
for,için
For all entities,Tüm varlıklar için
For entities with blank values,Değerleri boş olan varlıklar için
Forgot Password or Username?,Şifrenizi veya kullanıcı adınızı mı unuttunuz?
Forms and email configuration,Formlar ve e-posta yapılandırması
From,Başlangıç:
From all suggestions,Tüm önerilerden
From previous step,Önceki adımdan
From selection,Seçimden
From:,Gönderen:
Full mode,Tam mod
Full width,Tam genişlik
General,Genel
General access,Genel erişim
General Information,Genel Bilgiler
Generated ID,Oluşturulan Kimlik
Global CSS,Genel CSS
Global CSS & JS,Global CSS ve JS
Global JS,Global JS
Google,Google
Google Analytics,Google Analytics
Google Maps,Google Maps
Group,Grup
Group by,Gruplama kriteri
group expressions,grup ifadeleri
Group Options,Grup Seçenekleri
Group saved,Grup kaydedildi
Group updated,Grup güncellendi
Grouped geolocation properties,Gruplandırılmış coğrafi konum özellikleri
Groups,Gruplar
Header and button preview,Başlık ve düğme önizlemesi
Header bar active background,Başlık çubuğunun etkin arka planı
Header bar background,Başlık çubuğunun arka planı
Header bar divider,Başlık çubuğu ayırıcısı
Header bar hover background,Başlık çubuğunun fareyle üzerine gelindiğinde görünen arka plan
Header bar text,Başlık çubuğu metni
help,yardım
here,burada
"Hi, I'm Bert.","Merhaba, ben Bert."
Hide,Gizle
Hide actions,Eylemleri gizle
Hide details,Ayrıntıları gizle
Hide label,Etiketi Gizle
Hide restricted relationships from public,Kısıtlı ilişkileri herkesten gizle
Hide toolbar,Araç çubuğunu gizle
HTML,HTML
https://yourdomain,https://yourdomain
hub,merkez
hubs,merkezler
Hybrid,Hibrit
Icon,Simge
ID,Kimlik
ID:,Kimlik:
"If an account exists with the email you provided, you will receive an email
                        with instructions to reset your password.","Verdiğiniz e-posta adresiyle kayıtlı bir hesap varsa,
şifrenizi sıfırlamanız için gerekli talimatları içeren bir e-posta alacaksınız."
"If it is an external URL, use a fully formed URL. Ie. http://www.uwazi.io.","Harici bir URL ise, tam olarak oluşturulmuş bir URL kullanın: http://www.uwazi.io."
"If you want to continue, please type","Devam etmek istiyorsanız, lütfen yazın"
Image doesn't match the required size.,"Görsel, istenen boyuta uymuyor."
Import,İçe aktar
Import / Export CSV,CSV İçe Aktarma / Dışa Aktarma
Import asset,Dosya içe aktar
Import CSV,CSV'yi içe aktar
Import failed. Review details below.,İçe aktarma başarısız oldu. Aşağıdaki ayrıntıları inceleyin.
