Key,Component,View,Context
Administrators and Editors,Member row label (default pseudo-entry),"Entity metadata form share dialog (legacy, reached via the Share button in Metadata form buttons / library bulk selection)","Hardcoded `label: 'Administrators and Editors'` in the `pseudoMembers` array in app/react/Permissions/components/ShareEntityModal.tsx, concatenated with real member assignments and rendered by MemberListItemInfo.tsx as plain `<span>{label}</span>` — bypasses `<Translate>`/`t()` entirely, so it never actually goes through the i18n lookup despite matching an en.csv key."
Administrators and Editors always have edit access,Helper text,Entity view,"Note under the General access control in the Share modal, clarifying who always retains edit rights."
Admins,Stat label,Settings > Dashboard,Label next to the admin user count in the Users card's breakdown row.
Advanced colors,Button label,Settings > Theme and branding,Toggle button that expands the advanced color-editing section of the theme customization panel.
Advanced ECharts overrides,Section heading,Settings > Dataviz > Preview panel,Heading above the JSON code editor for merging raw ECharts option overrides onto the generated chart config.
All,Filter toggle label,Shared (used across 6 views),"Label on the first radio option of the multiselect list's filter row, showing every item instead of only selected ones."
ALL,Toggle switch label,Library,Right-side label of the switch that shows every document type instead of only the featured ones.
"All changes will be lost, are you sure you want to proceed?",Modal body text,Entity view,"Warning text in the confirm-close modal, asking the user to confirm discarding unsaved changes."
All data,Section label,Settings > Metadata extraction,"Section heading in the Stats & Filters sidepanel grouping the Labeled, Non-labeled, and Use for training checkboxes."
All editing options will be disabled.,Tooltip text,Settings > Templates,"Second line of the tooltip shown when hovering the ""Synced template"" badge in the templates list table."
All of the paragraphs will be deleted,Confirmation modal warning text,Settings > Paragraph Extraction,Warning shown in the confirmation dialog before deleting selected paragraphs.
All of the previously created paragraphs will be deleted and recreated after the process.,Confirmation modal warning text,Settings > Paragraph Extraction,"Literal `<Translate>` text in app/react/V2/Routes/Settings/ParagraphExtraction/components/entities/ExtractEntitiesDialog/index.tsx, wrapped across two source lines, shown when confirming the ""Extract paragraphs"" action."
Allow captcha bypass,Toggle label,Settings > Collection,Label for the toggle that opens the public endpoint to bypass captcha checks.
Allow public embedding without login,Toggle label,Settings > Dataviz > Embed panel,"Label next to the toggle allowing the chart to be embedded publicly without login, shown only on private instances."
Already exists,Inline validation error,Entity view,Error message shown under the new-type input when the entered relationship type name is a duplicate.
Already the same value.,Inline hint on a metadata field diff,Copy From dialog in Entity view or Library,Small note shown under a field's before/after comparison in the Copy From source preview when the source value matches the current value.
Amount,Field label,Settings > Metadata extraction,"Label beside the numeric input for how many entities to find suggestions for, in the Process extractor and Train model modals."
An admin needs to add relationship types before you can create a relationship.,Helper/error message,Entity view,"Message shown to non-admin users when no relationship types exist yet, explaining they cannot proceed."
An error has occured while deleting a language:,Toast notification prefix,Global navigation,"Prefix text for the app-wide danger notification shown when a language deletion job fails, followed by the server's error message."
An error has occured while installing languages:,Toast notification prefix,Global navigation,"Prefix text for the app-wide danger notification shown when a language installation job fails, followed by the server's error message."
An error has occurred,Error toast notification message,Global,Generic fallback error notification raised by the legacy API layer when a failed request can't be mapped to a more specific message.
An error has occurred during data export,Error notification,Library,Toast shown when the CSV export request fails for a reason other than a bad captcha.
An error has occurred while installing languages:,Toast notification,Global navigation,"Bridge notification (V2 UI) shown when a language installation job fails, sent alongside the legacy Redux notification with the same meaning."
An error has occurred while uninstalling a language:,Toast notification,Global navigation,"Bridge notification (V2 UI) shown when a language uninstallation job fails, sent alongside the legacy Redux notification with the same meaning."
An error occurred,Error toast/message,Shared (used across 19 views),"Generic fallback error notification reused throughout the app whenever an API call or async action fails, from entity sharing to nearly every Settings section."
Analytics,Card section heading,Settings > Collection,"Title, with an info tooltip, of the card holding Google and Matomo analytics settings."
Analytics description,Tooltip,Settings > Collection,Tooltip on the analytics field mentioning support for Google Analytics and Matomo.
AND OR NOT,Code example,Entity view,Code-styled example of boolean search operators inside the search-tips popover.
Any,Facet option label,Library,"Row at the bottom of a filter facet tree meaning ""match any value"" for that property."
Any entity,Dropdown option / table cell text,Settings > Templates,"Default option meaning no entity-type restriction, shown in the relationship property's entity dropdown and as fallback text in the matching-properties table."
any single character,Search tip description,Entity view,"Explanatory text next to the ""198?"" example in the search tips popover."
Any type,Filter toggle button,Copy From dialog in Entity view or Library,Button in the Copy From search view's type-filter chip row that clears the same-type restriction so search results include entities of any template.
Anyone can see this entity,Warning text,Entity view,Warning shown under General access in the Share modal when the entity's visibility is set to Published.
Appearance,Dropdown option label,Entity view,"""Sort by appearance order"" option in the relationships panel's sort menu."
Apply,Button label,Settings > Activity Log,Submit button at the bottom of the Filters side panel that applies the selected filters to the activity log.
Are you sure you want to continue?,Confirmation dialog default message,Shared (used across N views),"Default `message` prop shared by three generic confirm components — app/react/App/Confirm.jsx, app/react/Layout/ConfirmButton.jsx, app/react/Layout/ConfirmModal.jsx — each rendering `<Translate>{message}</Translate>`; appears whenever a caller triggers a confirmation without overriding the message."
Are you sure you want to delete,Confirmation modal body text (fragment),Entity view,"First half of the bulk-delete confirmation sentence, followed by the selected count."
"Are you sure you want to delete the selected visualizations? This action cannot be
              undone.",Confirmation dialog body,Settings > Data visualizations,Body text of the confirmation modal shown when bulk-deleting selected visualizations from the list.
Are you sure you want to delete this attachment?,Confirmation dialog message,Entity Attachments panel (legacy),"Default `deleteMessage` prop in app/react/Attachments/components/Attachment.jsx, passed to `mainContext.confirm({message: this.props.deleteMessage})` and rendered dynamically via `<Translate>{message}</Translate>` in Confirm.jsx."
Are you sure you want to delete this connection?,Confirmation dialog message,Document/Entity Viewer (legacy connections list),"`message` variable set in app/react/Viewer/components/Connection.jsx and app/react/Entities/components/EntityViewer.jsx, passed to the confirm dialog and rendered via `<Translate>{message}</Translate>`."
Are you sure you want to delete this entity?,Confirmation dialog message,Shared (used across N views),"`message` variable set in app/react/Entities/components/EntityViewer.jsx and app/react/Relationships/components/RelationshipMetadata.jsx (legacy Library entity/relationship delete flows), rendered dynamically via the shared Confirm dialog."
Are you sure you want to delete this file?,Confirmation dialog message,Entity Attachments/Files panel (legacy),"`message` variable in app/react/Attachments/components/File.tsx, passed to the confirm dialog and rendered via `<Translate>{message}</Translate>`."
Are you sure you want to delete this item?,Confirmation modal warning text,Settings > Thesauri,"Warning text shown in the confirmation modal before deleting selected thesauri, or before deleting an item/group inside a thesaurus."
Are you sure you want to delete this relationship? This action cannot be undone.,Confirmation modal body text,Entity view,Body copy of the confirmation modal for deleting a single relationship.
Are you sure you want to delete this visualization? This action cannot be undone.,Confirmation dialog body,Settings > Data visualizations,Body text of the confirmation modal shown when deleting a single visualization from its editor.
Are you sure?,Confirmation modal heading,Settings > Paragraph Extraction,"Header of the confirmation dialog shown before deleting paragraphs, deleting an extractor, or extracting entities."
Ascending,Select option label,Library,Option in the Order select within the toolbar's Display options menu.
Ask Bert,Button label / aria-label,Global header,Label and accessible name of the header button that opens the Bert AI Assistant chat modal; visible in the app header on nearly every page.
Attachment,File type label,Entity view,"Fallback type label on a FileCard when a file's mimetype can't be determined, shown in the entity Files list."
Attachment deleted,Toast notification,Shared (used across 2 views),"Success toast shown after deleting a supporting file (attachment) from an entity, from the legacy attachments list."
Attachment renamed,Toast notification,Shared (used across 2 views),"Success toast shown after renaming a supporting file attached to an entity, from the legacy attachments list rename form."
Attachment uploaded,Toast notification,Shared (used across 2 views),"Success toast shown after uploading a supporting file (attachment) to an entity, from the legacy attachments upload modal used in Library and Entity view."
Attachments,Form field label,Public template submission form,Rendered via the ternary `id === 'file' ? 'Document' : 'Attachments'` inside `<Translate>` in app/react/Markdown/components/PublicForm.jsx — a JSXExpressionContainer the literal-string scanner cannot resolve.
Authentication code,Field label,Login,Label for the one-time code input during the 2FA login step.
auto created,Screen-reader-only label,Entity view,Hidden accessible text paired with the sparkles icon noting the table of contents was auto-generated.
Auto-accept suggestions,Checkbox label,Settings > Metadata extraction,Checkbox in the Process extractor modal that toggles automatically accepting found suggestions.
auto-created,Inline badge text,Library / Entity view,"Small ""auto-created ⓘ"" label next to the TOC heading in the document side panel when the table of contents was generated automatically rather than by hand."
Automatic Table of Contents,Filter label,Library,Admin-only filter option label in the Library sidebar that splits documents by whether their table of contents was auto-generated or human-reviewed; only shown when the tocGeneration feature toggle is on.
Automatically generated,Filter option label,Library,"Label of a filter option in the Library's sidebar for the ""Table of Contents"" admin filter, for entries with an automatically generated TOC."
Available default translation,Footnote / legend text,Settings > Languages,Footnote in the install-languages modal explaining the asterisk marks languages with a default translation available.
Back,Button label,Shared (used across 5 views),"Button label to go back a step in the multi-step relationship-creation wizard, and to cancel targeting a document for a reference."
Back to details,Button label,Entity view,"Button in the Files tab footer's file preview mode, returns from the file preview back to file details."
Back to search,Button label,Entity view,"Returns to the entity search step in the ""copy metadata from another entity"" panel."
Bad Request,Error page heading / toast,Generic Error page,"`name` field in the `handledErrors` object in app/react/V2/shared/errorUtils.tsx, looked up via `t('System', error.name, ...)` in app/react/V2/Components/ErrorHandling/GeneralError.tsx."
Bert,Modal heading,AI Assistant (Bert) panel,"Heading text next to the Bert icon in the AI Assistant chat modal's header, a global overlay reachable from any page."
Bidirectional,Relationship direction icon tooltip / group header label,Entity page > Relationships panel,"Value in the `directionTitles` lookup in app/react/V2/Routes/Entity/Components/relationships/rows/DirectionGlyph.tsx, looked up via `t('System', directionTitles[direction], ...)` and used as the direction icon's title/aria-label; duplicated in `directionLabelKey()` in relationshipsPanelGrouping.ts for the ""group by direction"" section header."
Body,Field label,Settings > Activity Log,"Labels the request body value, shown both in the entry detail side panel and inside the description column's hover tooltip."
boolean,List item description,Entity view,Short description labeling the AND/OR/NOT example as boolean search syntax in the search-tips popover.
Browse files to upload,Label / clickable prompt text,Shared (used across 4 views),Text inside the drag-and-drop file dropzone (used for entity file uploads and several Settings image/CSV upload pickers) prompting the user to click and browse for files.
"by ids, methods, keywords, etc.",Input field placeholder,Settings > Activity Log,"Placeholder text in the search input of the Filters side panel, hinting what the free-text search can match on."
By logging in you accept the essential session cookie required to stay signed in.,Login page footnote,Login page,"Literal `<Translate>` text in app/react/Users/Login.jsx, wrapped across two source lines, shown under the login form."
Can edit,Filter option label,Library,Option label in the Library's permissions filter multiselect for filtering entities the user can edit.
Can see,Icon button label,Entity view,Tooltip and aria-label on the view-access toggle for a person or group in the entity's share modal.
Can view,Filter option label,Library,"Label for the ""read"" access-level option in the permissions filter of Library's advanced search sidebar."
Cancel,Button label,Shared (used across 19 views),"Generic cancel button used to dismiss modals, forms, and side panels throughout the app."
cancel csv import,Modal body text,Settings > Import CSV,Explanatory text in the cancel-import modal describing that new entity creation stops but existing entities stay.
Canceling,Modal heading,Settings > Import CSV,Title of the modal shown when a user opens the cancel-import confirmation dialog.
Canceling...,Status banner text,Settings > Information Extraction > Suggestions,"Built in the `ixmessages.cancel` entry as `` `${t('System', 'Canceling', null, false)}...` `` in app/react/V2/Routes/Settings/IX/IXSuggestions.tsx — translates the ""Canceling"" key then appends a literal ellipsis, rendered directly via `{ixmessages[status.status]}`."
Cancelled,Status title label,Settings > Import CSV,Short status badge title shown on the import status page when the import was cancelled.
Cannot connect to server,Tooltip text,Unresolved,"Tooltip on the disconnect-warning icon in the app header, shown when the client loses its connection to the server."
Cannot find extractor,Toast notification detail,Settings > Paragraph Extraction,"Error detail shown when the extract action runs but no extractor is associated with the current view, in PXEntities.tsx and ExtractEntitiesDialog."
Captcha,Form field label,Pages,Label above the captcha challenge in the contact and public submission forms.
Captcha bypass,Tooltip,Settings > Collection,Tooltip on the captcha-bypass toggle warning it is insecure and can enable spam.
Cards,View-mode option label,Shared (used across 2 views),Option in the toolbar's view dropdown that switches the results display to a card grid.
Cards view,Tooltip text,Library,Tooltip on the button that switches Library results back to the default cards view.
Category,Table column header,Settings > Dataviz > Preview panel,Column header in the data summary table shown under the chart preview for two-dimensional breakdowns.
Change,Button label,Settings > Collection,Label on the button that reopens the image picker to replace an already-selected image.
Change Password,Card heading,Settings > Account,Title of the card containing the new password and confirm password fields.
Changes in the thesaurus will impact all the entities using these values.,Confirmation modal body text,Settings > Thesauri,Body text of the confirmation modal warning that deleting thesaurus items or groups affects entities that reference them.
Changing the type will erase all relationships to this entity.,Inline warning text,Entity metadata form,Warning shown next to the template/type selector in the entity edit form when switching template would remove existing relationships.
Character support description,Tooltip,Settings > Collection,Tooltip on the non-Latin character support option explaining its effect on templates and URLs.
Character support process warning,Tooltip,Settings > Collection,Bolded warning within the character support tooltip about the process taking minutes and breaking existing URLs.
Character support revert warning,Tooltip,Settings > Collection,Closing warning within the character support tooltip that the change cannot be reverted.
Chart,Table column header,Settings > Data visualizations,Header label for the chart-type column in the data visualizations table.
Chart options,Section heading,Settings > Dataviz > Chart tab,"Heading above the chart-type-specific settings, such as legend, tooltip, labels, and data filters."
Chart theme,Section heading,Settings > Data Visualizations,Heading over the background/foreground color pickers in the Dataviz editor's Appearance section.
Chart type,Section heading,Settings > Dataviz > Chart tab,"Heading above the grid of selectable chart type buttons, such as bar, pie, and line."
Chart type uses a custom view,Placeholder text inside chart area,Pages / Entity view,Shown inside DatavizChartView's chart canvas when the mapped chart type has no ECharts option and needs a custom renderer.
Check to make this instance public (non-logged in users can see public documents and entities),Tooltip,Settings > Collection,Tooltip on the public-instance checkbox explaining what enabling it does.
Checking which images fit the requirements,Loading message,Settings > Collection,Status message shown in the image picker modal's gallery while images are checked against size rules.
Choose,Button label,Settings > Collection,Label on the button that opens the image picker when no image is selected yet.
Choose PDF files,File input aria-label,Library,Accessible name of the hidden file picker in the Library upload-PDF modal.
Choose relation type,Modal step heading,Entity view,Title shown in the create-relationship modal header while the user selects the relationship type.
Choose which data to use for training,Tooltip heading,Settings > Metadata extraction,"Heading inside the tooltip on the Train model modal's Training sample label, introducing the two sample options below it."
Chrome header,Section label,Settings > Theme and branding,Section heading above the app top-bar (chrome) color overrides in the theme editor's advanced and simple color panels.
Clear,Button label (often screen-reader only),Shared (used across 5 views),"Label on the small button that clears the current value of a text input, search-select, textarea, or an applied filter across multiple forms."
Clear all,Button label,Shared (used across 4 views),Button in the active-filters bar of Library that clears every applied filter chip at once.
Clear All,Button label,Settings > Paragraph Extraction,Button in the entity filter side panel that resets all applied status filters.
Clear all filters,Button label,Entity view,Button in the relationships filter drawer footer that clears all active filters.
Clear coordinates,Button label,Library / Entity view,Button under the geolocation map in the metadata edit form that clears the selected lat/lon values.
Clear Filters,Button label,Library,Button in the filters side panel footer that resets all active search filters.
Clear PDF selection,Button label,Entity view,Clears a text selection captured from the PDF viewer during metadata extraction.
Clear search,Clear-search button/aria-label,Entity view,Label on the button that clears the current search term in the relationships and document search bars.
Click to fill,Button label,Entity view / Settings > Metadata extraction,"Label on the small button (with cursor icon) that fills a metadata field with text selected in the PDF, used in the entity edit view's PDF-fill feature and in the Settings > Metadata extraction training sidepanel."
Click to select an image,Dropzone prompt,Entity view,"Title text on the dashed upload dropzone inside the media picker modal, image mode."
Click to select audio or video,Dropzone prompt,Entity view,"Title text on the dashed upload dropzone inside the media picker modal, audio/video mode."
Click to select files,Dropzone title,Entity view,Title text on the add-file dropzone prompting the user to click and pick files to upload.
Close,Icon-button label,Shared (used across 6 views),"Generic ""Close"" label/tooltip on the close control of modals, side panels and drawers across the app (translate modal, media viewer, share dialog, entity overlay, several Settings dialogs)."
Code,Field label,Settings > Import CSV,Label preceding the error code in the failure details panel shown when an import fails.
Collaborator,Table column header and option label,Settings > Users & Groups,Column header for the collaborator permission level and the collaborator option in the user role selector.
Collaborators,Stat label,Settings > Dashboard,Label next to the collaborator user count in the Users card's breakdown row.
Collapse all,Button label,Shared (used across 3 views),"Button that collapses grouped/expandable rows, used in the legacy relationships panel, the new relationships list, and generic grouped settings tables."
Collapse All,Button label,Entity view,Button in the ToC header that collapses all expandable table-of-contents entries.
Collection,Navigation link,Settings,Admin-only sidebar link in the Settings navigation menu that routes to the collection settings page.
Collection Name,Input field label,Settings > Collection,"Label for the text input where admins set the collection's display name, in the General card."
Colors,Section heading,Settings > Dataviz > Appearance tab,"Heading above the color mode selector for the chart, covering template, custom, and from-data coloring."
Colors come from the server data layer. Preview shows assigned bucket colors when available.,Helper text,Settings > Data Visualizations,"Hint explaining automatic bucket coloring, in the Appearance section of the Dataviz editor."
combine or exclude terms,Search tip description,Entity view,Explanatory text next to the AND/NOT boolean example in the search tips popover.
Common sources,Section subheading,Settings > Metadata extraction,"Subheading in step 2 of the Extractor modal above the radio options for the extractor's source (PDF, title, or a text property)."
Completed,Status label,Settings > Import CSV,"Label next to the completed-import count in the table summary, and the status text shown for completed imports."
Completed with errors,Status title label,Settings > Import CSV,Short status badge title shown on the import status page when the import finished but some rows failed.
Configuration,Tab label,Settings > Pages,"Label of the first tab in the Page Editor, holding the page title, entity-view toggle, and URL preview."
Configure filters,Table row label (Permissions reference table),Settings > Users & Groups,"`action` value in `permissionsByRole` in PermissionsListModal.tsx, rendered via `<Translate>{cell.getValue()}</Translate>`."
Configure templates,Table row label (Permissions reference table),Settings > Users & Groups,"`action` value (`'Configure templates '`, with a trailing space in source) in `permissionsByRole` in PermissionsListModal.tsx, rendered via `<Translate>{cell.getValue()}</Translate>`."
Confirm,Modal heading,Entity view,Heading of the confirmation modal shown when closing the document panel with unsaved metadata changes.
CONFIRM,Confirmation keyword,Global navigation,Default word the user must retype into the Confirm modal's extra-confirm input to authorize a destructive action.
Confirm action,Modal dialog title/body text,"Shared (used across 4+ views: Account settings, User settings sidepanel, plus default title for legacy Confirm/ConfirmButton/ConfirmModal dialogs)","Passed as a `title`/`body` prop (default value or literal) then rendered via `<Translate>{title}</Translate>` in `app/react/App/Confirm.jsx`/`ConfirmButton.jsx`/`ConfirmModal.jsx`, and via `renderChild(body)` in V2 `ConfirmationModal.tsx` (used in `Account.tsx` and `UserFormSidepanel.tsx` for password-confirmed actions). Missed because the literal reaches `Translate` through a variable, not directly."
Confirm delete connection,Confirmation modal title,Document Viewer and Entity view (relationships/connections panel),Passed as `title` in a `mainContext.confirm({...})` call from `Viewer/components/Connection.jsx` and `Entities/components/EntityViewer.jsx`; rendered via `<Translate>{title}</Translate>` in `Confirm.jsx`. Triggered on deleting a text-connection reference.
